group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
WUADCCWRTIWANL,1.0112151008130827,0.4624846599621446,4.011179605745458,4.332685328071677,0.009829220203816129,0.9999051491177656,0.513820317055543,0.48608483206222264,O=c1c(-c2ccccc2)coc2ccccc12,285.0757,33.0,2.0,3.0,3.0,12.5,79.9,0.238095238095238,0.0,5.0,0.0,0.0,LCSB,1.978116587931232
WURBVZBTWMNKQT,0.7518395162271635,0.2974532040035589,3.300166671398605,6.860419584838226,0.0005056517126259349,0.7441507598003372,0.2967088292133321,0.4474419305870051,c1ccc(OCn2cncn2)cc1,294.1004,36.0,4.0,2.0,2.0,8.5,57.010000000000005,0.3,3.0,2.0,0.0,1.0,LCSB,0.5042645108105427
WUZNHSBFPPFULJ,0.932104853839456,0.2712783788770915,3.9266617761223803,4.059712514878167,0.002748117807157814,0.9295110862075022,0.3313047846141245,0.5982063015933777,c1ncnc(NC2CC2)n1,253.0963,30.0,4.0,2.0,1.0,7.0,86.52000000000001,0.4117647058823529,6.0,0.0,0.0,1.0,LCSB,1.1300114335128937
WVQBLGZPHOPPFO,0.9044025527335892,0.3921635216727842,3.892391774356952,4.139547029073524,0.001974124919816345,0.9018479818283626,0.4307787333602431,0.4710692484681195,c1ccccc1,284.1412,41.0,6.0,1.0,1.0,5.0,29.54,0.2105263157894736,1.0,2.0,0.0,1.0,LCSB,1.3802058722140405
WXWCDTXEKCVRRO,0.9380425197853834,0.6484449169689643,4.4045350590645285,3.6221495611487478,0.0025461695320465744,0.9345042061731136,0.7676815611209866,0.1672137543756964,c1ccccc1,138.0913,21.0,1.0,1.0,1.0,4.0,35.25,0.2,1.0,1.0,0.0,0.0,LCSB,3.4131328750101746
WXZVAROIGSFCFJ,0.8697398497214849,0.36258039569551753,2.9266523196154286,1.8233120360005188,0.004164565913760882,0.6661847401721626,0.394776494252688,0.27172622414814357,c1ccc2ccccc2c1,272.1645,41.0,5.0,2.0,2.0,8.5,29.540000000000003,0.15,1.0,2.0,0.0,0.0,LCSB,0.632191281515745
WYEMLYFITZORAB,1.0499999999999965,0.32654893956683384,3.8847081882707313,1.4411061191710157,0.01106714052562595,0.9468993685676164,0.572571948676195,0.3743274198914214,O=C(Nc1ccccc1-c1ccccc1)c1cccnc1,343.0399,35.0,3.0,3.0,3.0,13.0,41.99,0.217391304347826,2.0,1.0,0.0,2.0,LCSB,1.5536396297285144
WYKYKTKDBLFHCY,0.9997882397010952,0.46092419905069115,3.8926715692575877,6.532068393249254,0.0017169770378252672,0.9972125123889204,0.4699543787073961,0.5272581336815243,O=c1cccnn1-c1ccccc1,222.0429,23.0,1.0,2.0,2.0,9.0,60.91,0.3333333333333333,3.0,1.0,0.0,1.0,LCSB,1.6102622956036254
WYWHKKSPHMUBEB,0.9973636463034862,0.5673593553959356,4.357719396688658,3.709210912489258,0.0038884187258591773,0.99208532857654,0.7255217571312425,0.2665635714452975,S=c1[nH]cnc2nc[nH]c12,168.0338,16.0,0.0,2.0,2.0,8.0,83.38,0.5454545454545454,5.0,0.0,1.0,0.0,LCSB,3.0690640050897677
WYWZRNAHINYAEF,0.9912492506888465,0.5200424126398923,3.4965176015533914,5.331950896457831,0.005640635352367341,0.9840166721950726,0.5130866399551571,0.4709300322399155,c1ccccc1,278.2115,47.0,8.0,1.0,1.0,5.0,29.54,0.15,1.0,2.0,0.0,0.0,LCSB,1.362859455569555
WZKXBGJNNCGHIC,1.0101410212230415,0.6388225143141103,3.7446053373483648,4.082809344603759,0.017428243007589883,0.9982758639781866,0.6350452700853236,0.36323059389286294,c1ccc(C(c2ccccc2)c2ccccc2)cc1,331.2169,51.0,5.0,3.0,3.0,12.0,6.48,0.08,2.0,0.0,0.0,0.0,LCSB,2.09975513490281
XBZBRCVCSVLJJZ,1.0010529924778502,0.6263599182954903,3.7546253272725165,4.809903430410864,0.0031445126023885096,0.9970843014089088,0.6326507396415025,0.36443356176740627,c1ccc2c(c1)Cc1ccccc1-2,281.1285,37.0,2.0,3.0,2.0,11.0,58.2,0.1904761904761904,2.0,2.0,0.0,0.0,LCSB,2.04609636060439
XDNBJTQLKCIJBV,1.0499999999999998,0.3034731699360196,3.620048882034424,1.9370595777923054,0.006202795022620448,0.9476655956578608,0.4126316777510996,0.5350339179067611,c1ccccc1,309.0379,35.0,7.0,1.0,1.0,6.0,44.760000000000005,0.3888888888888889,0.0,4.0,2.0,0.0,LCSB,1.2060279926855682
XGXOSJSGDNPEEF,1.0499999999999998,0.19525538141536627,3.8417481700891307,1.10939744658516,0.028564845553111572,0.8836377856479148,0.4427545055531506,0.44088328009476424,O=C(N[C@@H]1N=C(c2ccccc2)c2cccc3c2N(CC3)C1=O)c1cccnc1,398.1612,49.0,3.0,5.0,3.0,17.0,100.68,0.2333333333333333,5.0,2.0,0.0,0.0,LCSB,1.282798488550122
XKNKHVGWJDPIRJ,0.8441004851618192,0.3843796638402117,3.47206715912659,2.9143625757368157,0.008108150823410463,0.798617393807727,0.3974583392246172,0.4011590545831098,c1ccccc1,217.9793,19.0,1.0,1.0,1.0,5.0,83.55000000000001,0.4545454545454545,1.0,3.0,0.0,0.0,LCSB,0.893183538509101
XMAYWYJOQHXEEK,1.0020176160643297,0.21703570218759174,3.5369416884075418,7.439487342636291,0.008193619065461526,1.0000003765372132,0.204993144786595,0.7950072317506182,c1ccc([C@@]2(Cn3ccnc3)OC[C@H](COc3ccc(N4CCNCC4)cc3)O2)cc1,531.156,64.0,7.0,5.0,3.0,14.5,69.06,0.2777777777777778,4.0,4.0,0.0,2.0,LCSB,0.7643672072229246
