spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271126,[M+H]1+,525.091,AZD-0284,QYYZXEPEVBXNNA,O=C(Nc1ccccc1)C1NCc2ccccc21
CCMSLIB00012271127,[M+H]1+,459.175,CC-90003,ILUKRINUNLAVMH,c1ccc(Nc2ccnc(Nc3ccncc3)n2)cc1
CCMSLIB00012271128,[M+H]1+,459.175,CC-90003,ILUKRINUNLAVMH,c1ccc(Nc2ccnc(Nc3ccncc3)n2)cc1
CCMSLIB00012271129,[M+Na]1+,481.157,CC-90003,ILUKRINUNLAVMH,c1ccc(Nc2ccnc(Nc3ccncc3)n2)cc1
CCMSLIB00012271130,[M+H]1+,434.207,SCHEMBL288920,GNVOKCURJPYONL,O=C(CC(Cc1ccccc1)NC(=O)c1cccn1Cc1ccccc1)NC1CC1
CCMSLIB00012271131,[M+H]1+,434.207,SCHEMBL288920,GNVOKCURJPYONL,O=C(CC(Cc1ccccc1)NC(=O)c1cccn1Cc1ccccc1)NC1CC1
CCMSLIB00012271132,[M+H]1+,526.256,Selpercatinib,XIIOFHFUYBLOLW,c1cncc(CN2C3CC2CN(c2ccc(-c4cccn5nccc45)cn2)C3)c1
CCMSLIB00012271133,[M+Na]1+,625.215,1355050-11-1,RWWYLEGWBNMMLJ,O=[PH](OCC1CCC(c2ccc3cncnn23)O1)Oc1ccccc1
CCMSLIB00012271134,[M+H]1+,645.243,GS-6620,YAAQYJCOIFNMKX,O=[PH](OCC1CCC(c2ccc3cncnn23)O1)Oc1ccccc1
CCMSLIB00012271135,[M+Na]1+,667.225,GS-6620,YAAQYJCOIFNMKX,O=[PH](OCC1CCC(c2ccc3cncnn23)O1)Oc1ccccc1
CCMSLIB00012271136,[M+Na]1+,545.247,remogliflozin etabonate,UAOCLDQAQNNEAX,c1ccc(Cc2c[nH]nc2OC2CCCCO2)cc1
CCMSLIB00012271137,[M+H]1+,406.193,toremifene,XFCLJVABOIYOMF,C(=C(c1ccccc1)c1ccccc1)c1ccccc1
CCMSLIB00012271138,[M+H]1+,406.193,toremifene,XFCLJVABOIYOMF,C(=C(c1ccccc1)c1ccccc1)c1ccccc1
