key,libraries,routes,in_msnlib_v1_0
POHILCHOFCRIBO,OTAVAPEP,parent;recorded,True
POHPVTKLZIANHR,MCEDIV,parent;recorded,False
POHPZUFKORNEFZ,MCEDIV,parent;recorded,False
POHVYDUCNFXRKX,ENAMDISC,parent;recorded,False
POHYPXYTMPJNRB,MCEDIV;MCESCAF,parent;recorded,True
POHZISJOZTZDOY,MCEDIV,parent;recorded,False
POIARNZEYGURDG,TARGETMOL,parent;recorded,False
POJLWVWXBAHGGO,OTAVAPEP,parent;recorded,True
POJWUDADGALRAB,MCEBIO;MCEDRUG,parent;recorded,True
POJYGQHOQQDGQZ,MCEDIV,parent;recorded,False
POJZDZQAEYSLOK,ENAMMOL,parent;recorded,False
POJZEYSDLWWKLW,MCEDIV,parent;recorded,False
POKPVPQTEDTRBM,MCEDIV,parent;recorded,False
POKRKZHLPHJORL,ENAMDISC,parent;recorded,False
POKSDBKGWXHSCS,ENAMMOL,parent;recorded,False
POKVVKOWYGTVKQ,OTAVAPEP,parent;recorded,True
POLGZPYHEPOBFG,OTAVAPEP,parent;recorded,True
POLWRCXHRFTJTO,ENAMMOL,parent;recorded,False
POLXXTLPDZTPCH,MCESCAF,parent;recorded,True
POMACOVJYPNTKO,ENAMDISC,parent;recorded,False
POMAQDQEVHXLGT,MCEBIO;TARGETMOL,parent;recorded,True
POMKXWCJRHNLRP,TARGETMOL,parent;recorded,False
POMQYTSPMKEQNB,TARGETMOL,parent;recorded,False
POMSYFVYQLTSBL,ENAMDISC,parent;recorded,False
POMWTLQKRHKYBB,MCEDIV,parent;recorded,False
PONANXDRJJIGPG,MCEBIO,parent;recorded,True
PONMRUPIMUZUTI,MCEDIV,parent;recorded,False
PONNJJHIKLFESH,MCESCAF,parent;recorded,True
POOMBNGBSWJWJF,ENAMDISC,parent;recorded,False
POORJMIIHXHXAV,MCEDIV,parent;recorded,False
POOSGDOYLQNASK,TARGETMOL,parent;recorded,False
POPBOQMJICJEBP,ENAMMOL,parent;recorded,False
POPCAROMRRLICD,MCEDIV,parent;recorded,False
POPFMWWJOGLOIF,MCEDRUG,parent;recorded,False
POPXPFOUVRNTHP,MCEDIV,parent;recorded,False
POQICXMTUPVZMX,NIHNP;TARGETMOL,parent;recorded,True
POQMCCGZZIMWHA,MCEDIV,parent;recorded,False
PORHOKHIMOFMMH,NIHNP,parent;recorded,True
PORJQNNOCNEOLR,MCEDIV,parent;recorded,False
POROORYXVWJFSB,MCEDIV,parent;recorded,False
PORPENFLTBBHSG,MCEBIO,parent;recorded,True
PORULWSSKAGRLP,ENAMDISC,parent;recorded,False
POSVKTVIXNTNJW,MCEDIV,parent;recorded,False
