group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
PUFYZCKVLOYPHL,O=C(/C=C/c1ccccc1)O[C@H]1CCN2C[C@@H]3C[C@@H](CN4C(=O)CCC[C@H]34)[C@@H]2C1,395.233123779297,59.0,3.0,5.0,1.0,11.0,49.85,0.1724137931034483,2.0,3.0,0.0,0.0,WUR
PUIYMUZLKQOUOZ,c1ccccc1,207.149368286133,33.0,2.0,1.0,1.0,5.0,32.34,0.2,2.0,1.0,0.0,0.0,WUR
PVTHJAPFENJVNC,C1CCC(O[C@@H]2CCCCO2)CC1,380.166778564453,51.0,3.0,2.0,0.0,4.0,218.81,0.46153846153846156,3.0,9.0,0.0,0.0,WUR
PXMNMQRDXWABCY,c1ccc(CCCCn2cncn2)cc1,308.152587890625,43.0,5.0,2.0,2.0,7.5,50.94,0.23809523809523808,3.0,1.0,0.0,1.0,WUR
PZBPKYOVPCNPJY,c1ccc(CCn2ccnc2)cc1,297.055877685547,33.0,6.0,2.0,2.0,8.5,27.05,0.2631578947368421,2.0,1.0,0.0,2.0,WUR
PZRHRDRVRGEVNW,O=c1ccc(-c2ccncc2)c[nH]1,212.081924438477,25.0,1.0,2.0,2.0,11.0,69.53999999999999,0.25,3.0,1.0,0.0,0.0,WUR
QAXBVGVYDCAVLV,O=C1CCCCC1c1cccs1,224.110488891602,32.0,3.0,2.0,1.0,5.5,29.1,0.2,1.0,1.0,1.0,0.0,WUR
QAYICIQNSGETAS,S=C1NCNCS1,163.035858154297,19.0,0.0,1.0,0.0,2.0,6.48,0.4444444444444444,2.0,0.0,2.0,0.0,WUR
QBAYIBZITZBSFO,c1ccccc1,190.047256469727,19.0,1.0,1.0,1.0,5.0,43.09,0.38461538461538464,1.0,1.0,0.0,3.0,WUR
QBSJMKIUCUGGNG,c1ccccc1,194.117630004883,29.0,2.0,1.0,1.0,5.0,38.33,0.21428571428571427,1.0,2.0,0.0,0.0,WUR
QCAWEPFNJXQPAN,O=C(NNC(=O)c1ccccc1)c1ccccc1,369.217498779297,55.0,3.0,2.0,2.0,10.0,58.64,0.18518518518518517,2.0,3.0,0.0,0.0,WUR
