accession,cs_dir,cs_blob_sha,head_ce_string,head_frag_mode,head_ce_has_percent,head_ce_form,blob_2023_11,title,title_ce_text,title_adduct,api_instrument_type,api_ion_mode,design_row,in_2023_11_tree,blob_identical_2023_11,arm,n_conv_match,n_raw_match
MSBNK-AAFC-AC000101,AAFC,483dd66be7441d6fd17ffe8e184e21ed408bc1c0,20(NCE),HCD,False,N(NCE),56a5e6667151cafb1894b279c8bcb47500e1d351,5-hydroxyculmorin; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M-H2O+H]+,20,[M-H2O+H]+,LC-ESI-ITFT,POSITIVE,False,True,False,,,
MSBNK-AAFC-AC000620,AAFC,60c2d954ff4e0878281678effdd790a5289fe0c3,30(NCE),HCD,False,N(NCE),50b79e696a7f5257b843c75630ce535e4b4c6317,Stachybocin C; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000184,AAFC,fc70148d89fafa57cfbd084acab4306cbe51c773,50(NCE),HCD,False,N(NCE),13340b93994ae37eafcbd9f6263fbed218d7de6e,Kotanin; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,50,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000465,AAFC,68137ae405608121673d89354474cf92fd3bf003,35(NCE),HCD,False,N(NCE),759d8850f280b66c633593643702257e64fac8ad,Enniatin B1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,35,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,3.0
MSBNK-AAFC-AC000027,AAFC,7378fe455b9da33508921cd92736486a72332a6b,30(NCE),HCD,False,N(NCE),b90f042a0732ad9aeee009b7e9e61a533b93b7a1,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000916,AAFC,4856f4813df15c3af4f8dcdda987ce897515adfe,10(NCE),HCD,False,N(NCE),86a2d783279c9671e50313422db9508fc2167091,Atranone B; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,10,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000127,AAFC,a08da7f0262640b0321584ea4bb91407ddd92565,30(NCE),HCD,False,N(NCE),d9564981be0d7bf48a747ae0b39b599e5dd85adc,Diacetoxyscirpenol; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,30,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000899,AAFC,5ccbc1dbe84c6fd8624d7b787d03d18074d7e171,30(NCE),HCD,False,N(NCE),b59d0d790504601b642ba0a1b250078aee17652b,Trichodermamide C; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000446,AAFC,16a9340af6c1efa1f229b3abaa069d1364e81fe9,30(NCE),HCD,False,N(NCE),4340598b583316a5b5c93f6c9be01bc38ee93f2e,Enniatin A; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,3.0
MSBNK-AAFC-AC000656,AAFC,8c661f28d9d91fc1e1d3de8b5d121419425acce9,30(NCE),HCD,False,N(NCE),fd9a3b0e1220141558b098f05a109da868999e01,Fumonisin B4; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M-H]-,30,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000855,AAFC,80fecda73ad4831fe161729fb21284ee0fe9ea5b,40(NCE),HCD,False,N(NCE),16b42a80f2d0d32cf84953bfbdd1027004073c7b,Pyrophen; LC-ESI-ITFT; MS2; CE: 40; R=17500; [M+H]+,40,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000402,AAFC,0779567e756d9cb64ac97851272665565c2c0e4c,10(NCE),HCD,False,N(NCE),feedcf311f6acabee82653685b7b3021f0c63288,"7,8-Dihydroxy calonectrin; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M-H2O+H]+",10,[M-H2O+H]+,LC-ESI-ITFT,POSITIVE,False,True,False,,,
MSBNK-AAFC-AC000803,AAFC,86c84d38379c2065a79e2190c308f00b8719a3c9,30(NCE),HCD,False,N(NCE),bd578b2e2183fbd21fb23e1cb21592836fec4d70,Redoxcitrinin; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M-H]-,30,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000068,AAFC,dd0972c73c17ff1f86090bafa327595b99ee1319,30(NCE),HCD,False,N(NCE),c2a9ace9e01c1dc35d9b100900e1564238401b80,Altersolanol A; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000267,AAFC,4e049d7a11c5c1aa64596ee7962205bcf5bc4888,50(NCE),HCD,False,N(NCE),aa3ffe9259839351474e4368e747786bddb2752c,Verrucarin J; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,50,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000169,AAFC,aa0b891100d1b53064e59b1a31bd280fdcd3cb36,45(NCE),HCD,False,N(NCE),1a72ea29b31d5c5be178ac9ccbe21830e0547c24,Koninginin A; LC-ESI-ITFT; MS2; CE: 45; R=17500; [M+H]+,45,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000763,AAFC,d4308de41b8cc4e76079bef1a6844123de8142e4,20(NCE),HCD,False,N(NCE),bac22bcfdedf018b80e6ed76f4d385bb6bc1da0f,Viridicatumtoxin; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M-H]-,20,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000748,AAFC,35e8ebda574ac791463bfce4d5f8b461692de8c6,20(NCE),HCD,False,N(NCE),2e6045c470a9d45d28dd5c41084adda3fff48919,Fusaperazine E; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,20,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000888,AAFC,f230d6eca75af695e91663ecb6d56b8f50070779,10(NCE),HCD,False,N(NCE),cdcfaf2f365fbc6685213211b1721acfdb676622,Fusaric acid; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,10,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000630,AAFC,68e9bc6894f49e02d0f7ff27ba3e7d98edd86928,35(NCE),HCD,False,N(NCE),8d96b638fd396a5b8450866b0063979424821332,T-2 tetraol; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,35,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000260,AAFC,4854417b9060068984402c6e2466854e96c9ebb4,30(NCE),HCD,False,N(NCE),447146809982e2e81cfbccb69fc2f3dd7f38c9b3,Verrucarin J; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000612,AAFC,693774e435318eb7105d3673da1e53c9cd404e3b,30(NCE),HCD,False,N(NCE),9d2546a2dae097394333025acd3148c7f97d3d26,Stachybocin B; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000214,AAFC,0c566eefaf6287118f1a858bb636799b902ea53c,10(NCE),HCD,False,N(NCE),9d1ecbef15c7244411a75c2e03cf8e074dcb832b,Roquefortine C; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,10,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000452,AAFC,49bbc52001b29092b18e9bc421a80aa1a68ff67f,50(NCE),HCD,False,N(NCE),5830466b07c26307894972e0ddeeb1bad896ac64,Enniatin A; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,50,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000008,AAFC,5ea4261226469f664cdf58476971f337d7fd585f,30(NCE),HCD,False,N(NCE),897713d94251abcbdc51356bbddfc536a547102a,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000764,AAFC,b184072518ee2804d934032e4814be6294de4e08,30(NCE),HCD,False,N(NCE),b2fa88ca5732690284f49612f28f2ab4ef0a3ad6,Viridicatumtoxin; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M-H]-,30,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000421,AAFC,77102b3adcccf4f4ce0e144fc8cf98afc7769fb2,20(NCE),HCD,False,N(NCE),bca614985d3317608e855796b0c3a062c0d9b1e9,Bassanolide; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+Na]+,20,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000266,AAFC,464011981e351bd68d6d3e010890846288f986f4,35(NCE),HCD,False,N(NCE),bec32fe724dd8670f8528b357be214bea5c02c85,Verrucarin J; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,35,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000038,AAFC,a5d34053951563518cf0d763a221f4f91c7dffe6,30(NCE),HCD,False,N(NCE),30065a4844665f7c1ee80cad8938bae9823658dc,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000597,AAFC,0d9b21f21e882081bcefe5c2ae03537484aa8d2a,20(NCE),HCD,False,N(NCE),10c0ca6cab48b069c7bcb42e3795708a12b8d537,Satratoxin G; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+Na]+,20,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000476,AAFC,b459c49ca67da4ea152cbf533b1023c74547c55b,10(NCE),HCD,False,N(NCE),1c28a3c3ce2ae99e9a83d353e7b9c2be129d3bf1,Fumonisin B1; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+Na]+,10,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
