unique_sample_id,source_zip,member,file,n_candidates,file_sha256
pluskal_mce_1D1_N11_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_N11_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_N11_id.mzML,1,5341dbb8e3100bd21a5a78c43a0bb276b408e86bb68db3f460dddd8ec0752ca0
pluskal_mce_1D1_N12_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_N12_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_N12_id.mzML,1,cd026d912d4f724332faceefeea1f0c41c7f982f56e37d841995d67fa169e1aa
pluskal_mce_1D1_N17_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_N17_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_N17_id.mzML,1,a617547ab8cd9aef193a0c6be71fef51bacfe2f0c72fc424360115fa59fe6a35
pluskal_mce_1D1_O15_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O15_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O15_id.mzML,1,24569ab5b2665bd0232d478ddf6aa95e0258e670443b3604b80379b3034175ef
pluskal_mce_1D1_O19_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O19_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O19_id.mzML,1,a4e51314ca589ba02d5069d7a40bad40ecd9fcda3ab2b7a745e4be20a0acd757
pluskal_mce_1D1_O21_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O21_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O21_id.mzML,1,a5a7747495afaa01b4c0fce575de86ea866aa361a4ec41dc04a9498ccd0245d2
pluskal_mce_1D1_O24_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O24_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O24_id.mzML,1,692b3022fa30085a297328dffa52a4b4720856c794b337d3335dbbbaa553aaff
pluskal_mce_1D1_O2_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O2_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O2_id.mzML,1,c350ca1f870448d38d33f9bb946be1fb206d90d363dd0203f2b2e11e653530b3
pluskal_mce_1D1_O4_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O4_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O4_id.mzML,1,01f92bfba025c21d565a84542ac061fe0c308c40df8a95cd872cf90ecab69a39
pluskal_mce_1D1_O7_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_O7_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_O7_id.mzML,1,d04d467defa3d79c4592f71f9618b8b46e6ebfeea57e32a4ddcc4531950c4b19
pluskal_mce_1D1_P12_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_P12_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_P12_id.mzML,1,9ad22b98e90b1b516bfddb5af37705f40fbae73e202b4e8851b560cb9cfce526
pluskal_mce_1D1_P15_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_P15_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_P15_id.mzML,1,7b4f58d2ac64261878fb5179fa66a6a7e2db54b1e651bafa35e0b9ff241b0efb
pluskal_mce_1D1_P22_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_P22_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_P22_id.mzML,1,4b7d77a9a0f3876e08c3f4c0590cfe3607a9c78c61eb19896303d774d352acaa
