group_key,g_hat,g_var,weight,split
FCBQJNCAKZSIAH,0.5451489311238148,0.004333659309071661,1.5203058914928012,valid
FFGPTBGBLSHEPO,2.71081379553623,0.004587015922353402,1.4363341856297713,test
FFHQNQNMELQOEF,0.5444747108409589,0.004333659309072188,1.520305891492616,valid
FFSSWMQPCJRCRV,2.93669474606031,0.004226328183582939,1.5589153262865567,train
FIQMHBFVRAXMOP,1.6320754816613694,0.00504978305592922,1.3047070946084254,test
FMKMKBLHMONXJM,2.291857965018211,0.04055841131103586,0.1624444243828543,valid
FNYLWPVRPXGIIP,2.3158498133804284,0.010433278640736713,0.6314877620137099,valid
FOXFZRUHNHCZPX,1.3547081635117342,0.004355505111635202,1.5126805296827512,train
FQEBOQLYHASAOY,2.5402224118584535,0.005710037415991521,1.1538431886370062,train
FQKUGOMFVDPBIZ,0.9737382813645014,0.00441143885860153,1.4935008713671447,train
FQNKTJPBXAZUGC,1.2848722176746863,0.013456201795806243,0.48962462656866773,train
FSAVDKDHPDSCTO,0.2756123017607941,0.013796777218672158,0.4775381724934718,train
FSVJFNAIGNNGKK,0.6692294049007689,0.005377096604937789,1.2252872253130171,test
FTLQSQQQFMZPKO,0.9670550242007986,0.0044108844323789385,1.493688596994339,test
FULZLIGZKMKICU,1.8010426061546234,0.01081251629331173,0.609338992014254,train
FUSNMLFNXJSCDI,0.6110466595496239,0.03146002674478317,0.20942409975531245,train
FWQYJOPJMIEKHZ,1.7727580962889244,0.005049232583881728,1.304849334993239,train
FXKFFTMLFPWYFH,0.7494115899523506,0.07367446276758911,0.0894270216816929,train
GCAOVMKRBUCSET,1.0819731683894283,0.004370208699217611,1.507591108974679,train
GDLIGKIOYRNHDA,0.39073217529976817,0.02445130408924425,0.26945343100135266,valid
GFNANZIMVAIWHM,0.6397373806748413,0.03898229322769685,0.16901231902445285,train
GGLIEWRLXDLBBF,1.7325536557852863,0.005049232583881992,1.304849334993171,train
GHOKWGTUZJEAQD,0.6681235534964306,0.004682569236252865,1.4070241029850907,valid
GJTKAAFWJZWEPS,0.68029646982654,0.004617751738824877,1.426773926348172,valid
