n,accession,source_url,repo,release,requested_blob_sha1,filename,bytes,sha256,git_blob_sha1_recomputed,blob_sha_verified,status,error
40,MSBNK-Eawag-EQ01191702,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/196fab9c7549cd84f60a068e6bfbdda2fdf69531,MassBank/MassBank-data,2025.10,196fab9c7549cd84f60a068e6bfbdda2fdf69531,MSBNK-Eawag-EQ01191702.txt,3341,579679842c5594e627cdafc581a35b691cf704ea9237ebb20d94b935c03d805b,196fab9c7549cd84f60a068e6bfbdda2fdf69531,True,ok,
41,MSBNK-Eawag-EQ01191704,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/99bda226e922646e76a993114ca335eeae4a07ba,MassBank/MassBank-data,2025.10,99bda226e922646e76a993114ca335eeae4a07ba,MSBNK-Eawag-EQ01191704.txt,3246,7679344a07e91cfead28783cbe9b3c9864b1f25ccc599832a73e841a63d42ec2,99bda226e922646e76a993114ca335eeae4a07ba,True,ok,
42,MSBNK-Eawag-EQ01192502,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/4999a090d31f1c9e10d3ac9270e84e1c5651371f,MassBank/MassBank-data,2025.10,4999a090d31f1c9e10d3ac9270e84e1c5651371f,MSBNK-Eawag-EQ01192502.txt,2480,270fca1b209df22d459dcb7a297af2e02edc89ddcba4a1c8ad3634d45a2a719f,4999a090d31f1c9e10d3ac9270e84e1c5651371f,True,ok,
43,MSBNK-Eawag-EQ01192504,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/bab408170e34bdbe6b0fdd72052e0446fb6b0e49,MassBank/MassBank-data,2025.10,bab408170e34bdbe6b0fdd72052e0446fb6b0e49,MSBNK-Eawag-EQ01192504.txt,3700,4e960c954f36a9bc2611c5a63a84bbc377695e677211c84623d311a8742e9b72,bab408170e34bdbe6b0fdd72052e0446fb6b0e49,True,ok,
44,MSBNK-Eawag-EQ01194502,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/146171076f6cad5a529fa0dce69c619cbf49e7d4,MassBank/MassBank-data,2025.10,146171076f6cad5a529fa0dce69c619cbf49e7d4,MSBNK-Eawag-EQ01194502.txt,2410,12b16aa79e90017b058873b8ee248097db56e4082c610d9945ff48aad0ada55c,146171076f6cad5a529fa0dce69c619cbf49e7d4,True,ok,
45,MSBNK-Eawag-EQ01194504,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f2681dfa3fda173bedb21f75c50dbd5c5d9cde7f,MassBank/MassBank-data,2025.10,f2681dfa3fda173bedb21f75c50dbd5c5d9cde7f,MSBNK-Eawag-EQ01194504.txt,2850,71c66444f552246b7ad832ae719e7c411b7113e0ce70011806805895f2bca929,f2681dfa3fda173bedb21f75c50dbd5c5d9cde7f,True,ok,
46,MSBNK-Eawag-EQ01194802,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/1c4103b44b90349edad1ab41e6cf034f8c767625,MassBank/MassBank-data,2025.10,1c4103b44b90349edad1ab41e6cf034f8c767625,MSBNK-Eawag-EQ01194802.txt,2637,c3f556ab4756c07ac3b194704e1d235a8305844fff50ec89595750125b877990,1c4103b44b90349edad1ab41e6cf034f8c767625,True,ok,
47,MSBNK-Eawag-EQ01194804,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/324bc678037392a64d42f15210ce0fd1126e82cf,MassBank/MassBank-data,2025.10,324bc678037392a64d42f15210ce0fd1126e82cf,MSBNK-Eawag-EQ01194804.txt,3055,8c3c452bad6c70f569e5f401e566db8b7d40631612744076ea0231f58d1437a5,324bc678037392a64d42f15210ce0fd1126e82cf,True,ok,
48,MSBNK-Eawag-EQ01199402,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/b42b06cdb9b32654c5c711098aed01c3d36a6d12,MassBank/MassBank-data,2025.10,b42b06cdb9b32654c5c711098aed01c3d36a6d12,MSBNK-Eawag-EQ01199402.txt,2144,dc70aa9cb9e306da968fb73e6b20ac7969870b5509f2b7ea2433b5b5af3db2da,b42b06cdb9b32654c5c711098aed01c3d36a6d12,True,ok,
49,MSBNK-Eawag-EQ01199404,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f991edadf7e31cf5210b62240a23711603c31096,MassBank/MassBank-data,2025.10,f991edadf7e31cf5210b62240a23711603c31096,MSBNK-Eawag-EQ01199404.txt,3201,ef447db85b43ae18366e30f0bb020148b8af0d440d7d270e3d295c8465dfb537,f991edadf7e31cf5210b62240a23711603c31096,True,ok,
50,MSBNK-Eawag-EQ1085802,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/2fbdad5a90f96e5a89b26f51c1dcdb28a3b347f3,MassBank/MassBank-data,2025.10,2fbdad5a90f96e5a89b26f51c1dcdb28a3b347f3,MSBNK-Eawag-EQ1085802.txt,3698,34cc61ed386efc060e07e594805d8bdfa2757730444b4e471290297f42c25ea7,2fbdad5a90f96e5a89b26f51c1dcdb28a3b347f3,True,ok,
51,MSBNK-Eawag-EQ1085804,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/35e95abe536ef70357793262a8a8dc60d7449c91,MassBank/MassBank-data,2025.10,35e95abe536ef70357793262a8a8dc60d7449c91,MSBNK-Eawag-EQ1085804.txt,3463,0131b31baa60d4d60cd40e8639cf375dbbeff1b2cb41bc8da8e4f9ecb4eba7aa,35e95abe536ef70357793262a8a8dc60d7449c91,True,ok,
