group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
XNKARWLGLZGMGX,0.6506024096385542,0.004021011680612021,2.063084822011985,0.05235008668358637,0.3012695961339434,0.0,-2.2586804666849933,0.06630786518282479,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.2206477576836219,1
XNSGCNYTNLWRKM,0.7297297297297297,0.010776338079474894,3.376929999675458,0.047127114256064306,0.20412868348975502,0.0,-2.286611115326604,0.09583211578313337,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.1180026167202146,0
XOFYZVNMUHMLCC,0.30952380952380953,0.01081983902864077,3.3837061658871948,0.1839555153043657,0.31789735539095293,0.0,-2.403106250262897,0.05269949034483577,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.04630106921462267,0
XOGPDSATLSAZEK,0.6231884057971014,0.006365914629346703,2.595836268533566,0.18417966988908474,0.27890715185032106,0.0,-2.347800395230108,0.056032417321731684,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.08764205653852883,0
XOVCVOLJZHNHLA,0.38961038961038963,0.0013799042725986454,1.2087649200619355,0.043900071100315186,0.3892254016112452,0.0,-2.334943615149157,0.04895435921474277,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.07588851694044288,0
XOXHILFPRYWFOD,0.4193548387096774,0.005563258983904302,2.426626472439418,0.11441435092210075,0.34359564163694173,0.0,-2.316198450989571,0.05128374852256022,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.15807046273394507,0
XOZLRRYPUKAKMU,0.6052631578947368,0.00368824061663777,1.9755458752037045,0.08506665788221446,0.326210871620126,0.0,-2.223631953358589,0.0687554400295936,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.23619192448842197,1
XPAZGLFMMUODDK,0.5714285714285714,0.006542939550671237,2.6319065982795657,0.06465114447759934,0.5464168066734028,0.0,-2.156836935505631,0.09645141174560155,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.18247405020365368,0
XQJQCBDIXRIYRP,0.4204545454545454,0.0061976241731092835,2.561262792359321,0.11565116780749368,0.3342133079729791,0.0,-2.266191925137246,0.054549995776828196,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.08972375277871987,0
XQUXKZZNEFRCAW,0.47058823529411764,0.004343026508555281,2.143812851808375,0.4208470929039712,0.3098199157092351,0.0,-2.4393378210749392,0.042891291980143804,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.10474753669490199,0
XQVWYOYUZDUNRW,0.42105263157894735,0.007299345208154228,2.7800744489368996,0.14194865033730641,0.40434354837538733,0.0,-2.347586861524002,0.05799203064556374,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.1684493836564512,0
XQYZDYMELSJDRZ,0.6276595744680851,0.008506346634604983,3.0006782777451466,0.4540890958495718,0.4450648775915259,0.0,-2.425083059708013,0.04635531202155314,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.03235777161236104,0
XQZXYNRDCRIARQ,0.8217821782178218,0.4743605318066518,22.321541537977755,0.20618029257630788,0.17496838661319392,0.0,-5.670309699287607,3.278739436512148e-05,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.11009536050973272,0
XRHGWAGWAHHFLF,0.5,0.009003339222238341,3.0871614819824966,0.22218974048355228,0.284815712398078,0.0,-2.376439970335176,0.05888104820076711,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.09902704056244031,0
