group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
PLYQBXHVYUJNQB,0.6853932584269663,0.021786999728983753,4.802877912937107,0.4939418275297124,0.23307737953919788,0.0,-2.451461880717554,0.08448146319396256,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.04923859754316271,0
PMCVMORKVPSKHZ,0.5490196078431373,0.015679524476048496,4.0742590151405,0.17197465255909328,0.3485573406827381,0.0,-2.2611809274636867,0.08279639922656071,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.07392733087083461,0
PMHURSZHKKJGBM,0.5774647887323944,0.003524533770008839,1.9314519000854709,0.08843619029710237,0.2771596277857985,0.0,-2.23393906076893,0.08513605988728656,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.07366553802987999,0
PNKLMTPXERFKEN,0.7446808510638299,0.007671777110796919,2.849447006259697,0.033189268784013126,0.25177936962178876,1.0,-2.4411634831816955,0.029534010699849296,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.09759840393788055,0
PNRAZZZISDRWMV,0.71875,0.012915595409297822,3.6972658186154836,0.1112601833684472,0.32525655084736815,0.0,-2.2344001321000864,0.08949529099397999,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.0875271753239122,0
PNVJTZOFSHSLTO,0.609375,0.012551240018878092,3.64494235346198,0.18481257457146036,0.41605156296958257,0.0,-2.1379223661873805,0.12821012458309908,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.03816134709706365,0
PNVNVHUZROJLTJ,0.6935483870967742,0.0038117167242866104,2.008577416316531,0.158476896757334,0.3525560616729,0.0,-2.2139770935843033,0.08548062986288785,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.22726832016452297,1
PNXBXCRWXNESOV,0.5686274509803921,0.004608420991405447,2.2087423071862284,0.0717240912283369,0.48723542703470407,0.0,-2.1152626973116533,0.07268916733407016,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.037356353992971054,0
POFWRMVFWIJXHP,0.7153846153846154,0.00794802058483395,2.9007928181805083,0.684638398687184,0.27590515535059973,0.0,-2.3601198559168575,0.06687398446311268,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.06454761734738021,0
PORQOHRXAJJKGK,0.6666666666666667,0.0058666983740227425,2.4923694094676456,0.05471989937169003,0.24507836978335282,0.0,-2.282377777331509,0.053177018574463386,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.07736637677507113,0
POZRVZJJTULAOH,0.5,0.006131556616224165,2.5478422389721866,0.10568711287864904,0.23131107972361786,0.0,-2.2650841214653443,0.0694842274186905,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.09862607875057973,0
PPDBOQMNKNNODG,0.5783132530120482,0.0018720924279605788,1.407797370571724,0.6272810298433656,0.2300389870034316,0.0,-2.3648214528310914,0.038508586910322114,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.18180871760352868,0
PPEKGEBBBBNZKS,0.4722222222222222,0.0258458034187673,5.231116137597787,0.17702408250575846,0.3166671723013073,0.0,-2.244331680128922,0.12281241224528346,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.17351354854628892,0
