parent_key,smiles,scaffold_group,inchikey_s4,taut_key,skel_key,formula_calc,msg15_taut_hit,msg15_skel_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,pr7_taut_hit,pr7_skel_hit,pr8_comparator_taut_hit,pr8_comparator_skel_hit,design_a_taut_hit,design_a_skel_hit
IXBQSRWSVIBXNC,C/C=C\1/C(=O)N[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1C)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C)C(=O)O,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC1=O,IXBQSRWSVIBXNC-HSKGSTCASA-N,IXBQSRWSVIBXNC,YYAGMKSDMKMGOE,C41H60N8O10,True,True,True,True,False,False,False,False,False,False
JFWABYMXSVHLEW,CC[C@H](C)[C@H]1C2=N[C@@H]([C@H](O2)C)C(=O)NCC3=NC(=CS3)C(=O)N[C@@H](C4=NC(=CS4)C(=O)N1)[C@@H](C)CC,O=C1NCC2=NC(CO2)C(=O)NCc2nc(cs2)C(=O)NCc2nc1cs2,JFWABYMXSVHLEW-ZUDVWZRRSA-N,JFWABYMXSVHLEW,DVZSLGGHTGVNQX,C24H32N6O4S2,True,True,False,False,False,False,False,False,False,False
JKBXTXMXBDJJQA,C[C@@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@@H](C(C)C)C(N[C@@H](CO)C(N[C@@H](CC(C=C1)=CC=C1OC/C=C(C)/C)C(N[C@H](C(N2CCC[C@H]2C3=O)=O)CC4=CC=CC=C4)=O)=O)=O)=O)=O)=O)N3[H],O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,JKBXTXMXBDJJQA-SJHSMXDOSA-N,JKBXTXMXBDJJQA,PKVJTLVTKSOGLH,C46H63N9O11,False,False,False,False,False,False,False,False,False,False
JNMCFADRRBGAIM,C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)C(Cc2ccccc2)NC(=O)CNC1=O,JNMCFADRRBGAIM-QVWKUIOOSA-N,JNMCFADRRBGAIM,CWABYINLDJLPSZ,C52H71N7O12,False,False,False,False,False,False,False,False,False,False
JWVKNHDSRADFFA,C[C@H]1C(N[C@@H](CC2=CC=CC=C2)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC3=CC=C(O)C=C3)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC4=CC=C(O)C=C4)C(N1C)=O)=O)=O)=O)=O,O=C1CNC(=O)C(NC(=O)NCCc2ccccc2)CCCCNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(CCc2ccccc2)N1,JWVKNHDSRADFFA-IFWSNWNESA-N,JWVKNHDSRADFFA,LPWFKTWSBFVLBI,C44H57N7O10,True,True,False,False,False,False,False,False,False,False
KCAKUFQSCADGHZ,CC[C@@H](C)[C@@H]1NC(=O)[C@@H](CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc3ccc(O)cc3)NC1=O)NC(=O)N[C@@H](Cc4ccc(O)cc4)C(O)=O,O=C1CNC(=O)C(NC(=O)NCCc2ccccc2)CCCCNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(CCc2ccccc2)N1,KCAKUFQSCADGHZ-JNFDXLRCSA-N,KCAKUFQSCADGHZ,IEGYEBMCDPXYFD,C45H59N7O10,True,True,False,False,False,False,False,False,False,False
KRNLOYZRJLTDBI,OC1=CC=C(C[C@@H](O)C(N[C@@H](C(N2[C@H](C(NC(CCCNC(N)=N)CO)=O)CCC2)=O)CCC3=CC=C(O)C=C3)=O)C=C1,O=C(CCc1ccccc1)NC(CCc1ccccc1)C(=O)N1CCCC1,KRNLOYZRJLTDBI-TUJAQADMSA-N,KRNLOYZRJLTDBI,QWAKFOOZTXZSET,C30H42N6O7,False,False,False,False,False,False,False,False,False,False
KSVGOBQTQGOLQM,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCCN)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN2CCCC(NC(=O)CN1)C2=O,KSVGOBQTQGOLQM-PLGRJYAQSA-N ,KSVGOBQTQGOLQM,FCABSIBNRFHMON,C46H72N8O12,False,False,False,False,False,False,False,False,False,False
KVEGLZCDCVSBQX,CCCCCC(N[C@H](C(N([C@H](C(NC(CO)CCCNC(N)=N)=O)C1)[C@@H]2[C@H]1CCC(O)C2)=O)CC3=CC=C(O)C=C3)=O,O=C(CCc1ccccc1)N1CCC2CCCCC21,KVEGLZCDCVSBQX-ZHYXHTNASA-N,KVEGLZCDCVSBQX,FSGATKUHDPOCSE,C30H48N6O6,False,False,False,False,False,False,False,False,False,False
KXRLIMLXCPEJPD,OC(C(CCCCCCC)N)C(NC(C(C)C)C(N1CCCC1C(NC(CC2=CC=C(C=C2)O)C(NC(C(O)=O)CC3=CC=C(O)C=C3)=O)=O)=O)=O,O=C(NC(Cc1ccccc1)C(=O)NCCc1ccccc1)C1CCCN1,KXRLIMLXCPEJPD-UHFFFAOYSA-N,KXRLIMLXCPEJPD,GWQDQDMTWKGWDQ,C38H55N5O9,False,False,False,False,False,False,False,False,False,False
KXSGCAPYMUMVSH,C/C=C(NC1=O)/C(N[C@@H]2C(N([C@@H](CC3=CC=CC=C3)C(N(C)[C@H](C(N[C@@H](C(C)C)C(O[C@H](C)[C@@H]1NC([C@H]([C@@H](C)O)NC([C@H](C)NC(CCC)=O)=O)=O)=O)=O)CC4=CC=C(O)C=C4)=O)[C@H](O)CC2)=O)=O,C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,KXSGCAPYMUMVSH-VFYPFKDGSA-N,QPOJEZGXYNWHID,ZEWOZURHJGQIES,C48H66N8O13,True,True,False,False,False,False,False,False,False,False
LGIDGQNWZFGZCH,CCCCCC(C(C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)O)O)NC,O=C(CCc1ccccc1)NCCc1ccccc1,LGIDGQNWZFGZCH-WVNIJTHNSA-N,LGIDGQNWZFGZCH,SRSHTFQRPQOYKE,C40H61N5O9,False,False,False,False,False,False,False,False,False,False
LJLORIMRLLORHA,CCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl,c1ccc(OC2CCCCO2)cc1,LJLORIMRLLORHA-LNSHLUEESA-N,LJLORIMRLLORHA,OOCBFRXEWYQTFC,C35H60Cl2O6,False,False,False,False,False,False,False,False,False,False
LRHLULGPZSFCCN,C[C@H]1C[C@@H](C(NC(CO)CCCNC(N)=N)=O)N(C([C@H](NC([C@H](O)CC2=CC=C(O)C=C2)=O)CCC3=CC=C(O)C=C3)=O)C1,O=C(CCc1ccccc1)NC(CCc1ccccc1)C(=O)N1CCCC1,LRHLULGPZSFCCN-NBJYBXKZSA-N,LRHLULGPZSFCCN,QIVLORKANXQRLI,C31H44N6O7,False,False,False,False,False,False,False,False,False,False
LTVNLDSXISIYIL,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(C(CC)C)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3,O=C1CCCCCNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)C(CCc2ccccc2)NC(=O)CN1,LTVNLDSXISIYIL-UHFFFAOYSA-N,LTVNLDSXISIYIL,FLVUOCKXSVGZGB,C45H65N7O11,False,False,False,False,False,False,False,False,False,False
