DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID0043921,Fenproporex,15686-61-0,IQUFSXIQAFPIMR-UHFFFAOYSA-N,3-[(1-Phenylpropan-2-yl)amino]propanenitrile,CC(CC1=CC=CC=C1)NCCC#N,"InChI=1/C12H16N2/c1-11(14-9-5-8-13)10-12-6-3-2-4-7-12/h2-4,6-7,11,14H,5,9-10H2,1H3",C12H16N2,188.274,188.1313485,20,35,35,9
DTXSID0044280,Quinine,130-95-0,LOUPRKONTZGTKE-WZBLMQSHSA-N,"(8alpha,9R)-6'-Methoxycinchonan-9-ol",[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1",C20H24N2O2,324.424,324.183778,43,6165,87,21
DTXSID0045127,Alprenolol,13655-52-2,PAZJSJFMUHDSTF-UHFFFAOYSA-N,1-[(Propan-2-yl)amino]-3-[2-(prop-2-en-1-yl)phenoxy]propan-2-ol,CC(C)NCC(O)COC1=C(CC=C)C=CC=C1,"InChI=1/C15H23NO2/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3",C15H23NO2,249.354,249.172879,35,1067,90,14
DTXSID0045171,Molsidomine,25717-80-0,XLFWDASMENKTKL-UHFFFAOYSA-N,"N-(Ethoxycarbonyl)-3-(morpholin-4-yl)-1,2,3-oxadiazol-3-ium-5-aminide",CCOC(=O)[N-]C1=C[N+](=NO1)N1CCOCC1,"InChI=1S/C9H14N4O4/c1-2-16-9(14)10-8-7-13(11-17-8)12-3-5-15-6-4-12/h7H,2-6H2,1H3",C9H14N4O4,242.235,242.1015049,34,1966,104,2
DTXSID0045175,Nisoxetine,53179-07-0,ITJNARMNRKSWTA-UHFFFAOYSA-N,3-(2-Methoxyphenoxy)-N-methyl-3-phenylpropan-1-amine,CNCCC(OC1=CC=CC=C1OC)C1=CC=CC=C1,"InChI=1/C17H21NO2/c1-18-13-12-15(14-8-4-3-5-9-14)20-17-11-7-6-10-16(17)19-2/h3-11,15,18H,12-13H2,1-2H3",C17H21NO2,271.36,271.1572289,22,251,65,2
DTXSID0045462,Isoxicam,34552-84-6,YYUAYBYLJSNDCX-UHFFFAOYSA-N,"4-Hydroxy-2-methyl-N-(5-methyl-1,2-oxazol-3-yl)-1,1-dioxo-1,2-dihydro-1lambda~6~,2-benzothiazine-3-carboxamide",CN1C(C(=O)NC2=NOC(C)=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,"InChI=1S/C14H13N3O5S/c1-8-7-11(16-22-8)15-14(19)12-13(18)9-5-3-4-6-10(9)23(20,21)17(12)2/h3-7,18H,1-2H3,(H,15,16,19)",C14H13N3O5S,335.33,335.0575917,36,93,119,2
DTXSID0045703,Oxcarbazepine,28721-07-5,CTRLABGOLIVAIY-UHFFFAOYSA-N,"10-Oxo-10,11-dihydro-5H-dibenzo[b,f]azepine-5-carboxamide",NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12,"InChI=1S/C15H12N2O2/c16-15(19)17-12-7-3-1-5-10(12)9-14(18)11-6-2-4-8-13(11)17/h1-8H,9H2,(H2,16,19)",C15H12N2O2,252.273,252.0898776,47,839,130,11
DTXSID0045967,Aloin A,1415-73-2,AFHJQYHRLPMKHU-OSYMLPPYSA-N,"(1S)-1,5-Anhydro-1-[(9S)-4,5-dihydroxy-2-(hydroxymethyl)-10-oxo-9,10-dihydroanthracen-9-yl]-D-glucitol",OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C2=CC=CC(O)=C2C(=O)C2=C1C=C(CO)C=C2O,"InChI=1S/C21H22O9/c22-6-8-4-10-14(21-20(29)19(28)17(26)13(7-23)30-21)9-2-1-3-11(24)15(9)18(27)16(10)12(25)5-8/h1-5,13-14,17,19-26,28-29H,6-7H2/t13-,14+,17-,19+,20-,21+/m1/s1",C21H22O9,418.398,418.1263823,24,111,38,5
DTXSID0046062,Phenacaine,101-93-9,APAAODWHOIYZEX-UHFFFAOYSA-N,"N~1~,N'~1~-Bis(4-ethoxyphenyl)ethene-1,1-diamine",CCOC1=CC=C(NC(=C)NC2=CC=C(OCC)C=C2)C=C1,"InChI=1S/C18H22N2O2/c1-4-21-17-10-6-15(7-11-17)19-14(3)20-16-8-12-18(13-9-16)22-5-2/h6-13,19-20H,3-5H2,1-2H3",C18H22N2O2,298.386,298.168128,16,-,8,2
DTXSID0046064,D-Valine,640-68-6,KZSNJWFQEVHDMF-SCSAIBSYSA-N,D-Valine,CC(C)[C@@H](N)C(O)=O,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m1/s1",C5H11NO2,117.148,117.0789786,27,-,103,-
