record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-Eawag-EQ01107102__GLACIER__K3,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,30,GLACIER,K3,0.9980550095916834,0.9905532102333644,
MSBNK-Eawag-EQ01107104__ICEBERG_2_1__K1,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,60,ICEBERG_2_1,K1,0.8663854727219621,0.8776995622259955,
MSBNK-Eawag-EQ01107104__ICEBERG_2_1__K2,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,60,ICEBERG_2_1,K2,0.9017858886578284,0.7635942792810265,
MSBNK-Eawag-EQ01107104__ICEBERG_2_1__K3,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,60,ICEBERG_2_1,K3,0.8458966904011457,0.7169222083039324,
MSBNK-Eawag-EQ01107104__GLACIER__K1,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,60,GLACIER,K1,0.8769936153222225,0.916717629064492,
MSBNK-Eawag-EQ01107104__GLACIER__K2,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,60,GLACIER,K2,0.9539336405695537,0.9069317493250368,
MSBNK-Eawag-EQ01107104__GLACIER__K3,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,60,GLACIER,K3,0.9546004447385484,0.896302794111258,
MSBNK-Eawag-EQ01109402__ICEBERG_2_1__K1,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,30,ICEBERG_2_1,K1,0.9312854304867494,0.8071309526991511,
MSBNK-Eawag-EQ01109402__ICEBERG_2_1__K2,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,30,ICEBERG_2_1,K2,0.805358302670031,0.756106302529517,
MSBNK-Eawag-EQ01109402__ICEBERG_2_1__K3,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,30,ICEBERG_2_1,K3,0.7233503220349862,0.7200184089967399,
MSBNK-Eawag-EQ01109402__GLACIER__K1,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,30,GLACIER,K1,0.7669345540272261,0.5947910639306463,
MSBNK-Eawag-EQ01109402__GLACIER__K2,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,30,GLACIER,K2,0.7565947574584443,0.6682497860028708,
MSBNK-Eawag-EQ01109402__GLACIER__K3,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,30,GLACIER,K3,0.6886728780550354,0.6474650697100424,
MSBNK-Eawag-EQ01109404__ICEBERG_2_1__K1,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,60,ICEBERG_2_1,K1,0.9677052000054468,0.7769290844397179,
MSBNK-Eawag-EQ01109404__ICEBERG_2_1__K2,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,60,ICEBERG_2_1,K2,0.6666166222728661,0.5629736300490898,
MSBNK-Eawag-EQ01109404__ICEBERG_2_1__K3,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,60,ICEBERG_2_1,K3,0.6663597104523572,0.5626714492188577,
MSBNK-Eawag-EQ01109404__GLACIER__K1,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,60,GLACIER,K1,0.9650373238917009,0.7392737281163979,
MSBNK-Eawag-EQ01109404__GLACIER__K2,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,60,GLACIER,K2,0.9679420643572061,0.7869626110976249,
