key,energy,mu,mu_cut1pct,mu_no_above,within_cell_sd,n,n_peaks,prec_frac,above_frac
LMEKQMALGUDUQG,40.0,0.5399235461288374,0.5335097705110877,0.5349329384589421,,1,1060.0,0.0,0.00637734467461919
LMEKQMALGUDUQG,60.0,0.46530120025611527,0.46530120025611527,0.44256378883504427,0.01017824712251021,3,263.0,0.0,0.008749671887304225
LMOINURANNBYCM,20.0,0.8715675543876046,0.8651130230374806,0.8483675425017041,0.005498697588327889,5,570.0,0.18437912215483612,0.02430224871430012
LMOINURANNBYCM,40.0,0.5522934885947204,0.5215840354605625,0.5185509029480864,0.005955014212831686,4,810.0,0.0,0.010777106739112072
LMOINURANNBYCM,60.0,0.4314257262078546,0.39233102460052893,0.39816850097048373,0.016554287090516876,4,485.0,0.0,0.00782627579515734
LNEPOXFFQSENCJ,20.0,0.9312979239029329,0.9384241059341947,0.9224308084931168,0.028837693292819582,5,1027.0,0.7210481564504908,0.056365463399551674
LNEPOXFFQSENCJ,40.0,0.4623895975924208,0.442238411052432,0.4450573787371749,0.029546815754046992,5,1518.0,0.01410560991754196,0.009928994487480008
LNEPOXFFQSENCJ,60.0,0.3529559561077714,0.32680021122283676,0.33196039211144,0.0318338236088711,6,1181.5,0.0,0.008433499345196993
LQOLIRLGBULYKD,20.0,0.6336570906434282,0.6306154851077486,0.6188700559220492,0.049216023453867074,2,299.5,0.06919187084826504,0.028353182009837392
LQOLIRLGBULYKD,40.0,0.4382432874009348,0.41784330230867245,0.43176809947111366,0.007564251439897343,3,514.0,0.0,0.005958339291672625
LQOLIRLGBULYKD,60.0,0.3882899651189743,0.3882569933032457,0.3851350604485043,0.031167896409343324,2,294.0,0.0,0.004419191919191919
LVQDKIWDGQRHTE,20.0,0.9513249211082184,0.9390094343282989,0.9132437631752308,0.12681703040997713,6,321.5,0.7413764289662861,0.051081392045140145
LVQDKIWDGQRHTE,40.0,0.5237282371828127,0.4524672968068245,0.46210599144399733,0.03526109165752107,4,266.5,0.008572835343293759,0.0173297225564034
