parent_key,stratum,mh,compound_name,parent_smiles,formula,primary_source,primary_catalogue_id,primary_cid,vendors,catalogue_ids,n_listings,purity_stated,stock_status,scaffold_group
IOIDSZXAMCZODM,L,240.10528,N-[2-(furan-2-ylmethylsulfanyl)ethyl]cyclobutanecarboxamide,O=C(NCCSCc1ccco1)C1CCC1,C12H17NO2S,TargetMol,Fr13529,2823324.0,TargetMol,TargetMol:Fr13529,1,,,O=C(NCCSCc1ccco1)C1CCC1
IOIGOIPHPUCFOB,L,150.09134,"(6S,7R)-7-Methyl-5H,6H,7H-cyclopenta[C]pyridin-6-OL",C[C@@H]1c2cnccc2C[C@@H]1O,C9H11NO,MedChemexpress MCE,HY-N1097,91982732.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N1097;TargetMol:TN3378,2,,,c1cc2c(cn1)CCC2
IOILQNNNLJZCNZ,L,175.09782,"1-benzyl-1H-1,2,4-triazol-3-amine",Nc1ncn(Cc2ccccc2)n1,C9H10N4,TargetMol,TPL0478,2840954.0,TargetMol,TargetMol:TPL0478,1,,,c1ccc(Cn2cncn2)cc1
IOIXFCHUVNXRSU,L,263.04963,3 inverted exclamation mark-Deoxy-3 inverted exclamation mark-fluoro-2-thiouridine,O=c1ccn([C@@H]2O[C@H](CO)C(F)[C@@H]2O)c(=S)[nH]1,C9H11FN2O4S,MedChemexpress MCE,HY-152754,117959799.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-152754;TargetMol:TNU0140,2,,,O=c1ccn(C2CCCO2)c(=S)[nH]1
IOJFHZXQSLNAQJ,L,236.00777,4-Azidotetrafluorobenzoic acid,[N-]=[N+]=Nc1c(F)c(F)c(C(=O)O)c(F)c1F,C7HF4N3O2,MedChemexpress MCE,HY-151662,2762578.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-151662;TargetMol:T87760,2,,,c1ccccc1
IOKGWQZQCNXXLD,L,238.04372,tert-butyl N-(3-bromopropyl)carbamate,CC(C)(C)OC(=O)NCCCBr,C8H16BrNO2,TargetMol,T202680,4460490.0,TargetMol,TargetMol:T202680,1,,,__ACYCLIC__IOKGWQZQCNXXLD
IOKKIRANVRFSAH,L,294.18524,Dexnafenodone,CN(C)CC[C@]1(c2ccccc2)CCc2ccccc2C1=O,C20H23NO,TargetMol,T68327,65834.0,TargetMol,TargetMol:T27156;TargetMol:T68327,2,,,O=C1c2ccccc2CCC1c1ccccc1
IOLQAHFPDADCHJ,L,155.14304,"2-Isopropyl-5-methyl-hex-2-enal, (2E)-",CC(C)C/C=C(/C=O)C(C)C,C10H18O,TargetMol,T203936,5362661.0,TargetMol,TargetMol:T203936,1,,,__ACYCLIC__IOLQAHFPDADCHJ
IOMNBRQCRNQRSC,L,244.05574,N-(3-chloro-2-propan-2-ylsulfanylphenyl)acetamide,CC(=O)Nc1cccc(Cl)c1SC(C)C,C11H14ClNOS,TargetMol,Fr14589,2823255.0,TargetMol,TargetMol:Fr14589,1,,,c1ccccc1
IOOKKDXVJPSSSC,L,173.05568,"rel-(3aR,6R,6aR)-Hexahydro-3-oxo-2H-pyrrolo(3,4-d)isoxazole-6-carboxylic acid",O=C1NO[C@H]2[C@@H]1CN[C@@H]2C(=O)O,C6H8N2O4,MedChemexpress MCE,HY-107524,15432002.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-107524;TargetMol:T22480,2,,,O=C1NOC2CNCC12
IOOWNWLVCOUUEX,L,298.0915,Vaborbactam,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,C12H16BNO5S,MedChemexpress MCE,HY-19930,56649692.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-19930;TargetMol:T17210;TargetMol:T17210L;TargetMol:T17210L1,4,,,O=C(Cc1cccs1)NC1BOCCC1
IOPZBVFVFPPDSC,L,263.10263,"N-(1,3-dioxo-2,3-dihydro-1H-isoindol-2-yl)(tert-butoxy)formamide",CC(C)(C)OC(=O)NN1C(=O)c2ccccc2C1=O,C13H14N2O4,TargetMol,TPL0074,801162.0,TargetMol,TargetMol:TPL0074,1,,,O=C1NC(=O)c2ccccc21
IOQIWWTVXOPYQR,L,224.09173,N-Benzoyl-L-threonine,C[C@@H](O)[C@H](NC(=O)c1ccccc1)C(=O)O,C11H13NO4,MedChemexpress MCE,HY-W142105,736177.0,MedChemexpress MCE,MedChemexpress MCE:HY-W142105,1,,,c1ccccc1
IOQPZZOEVPZRBK,L,130.15903,Octylamine,CCCCCCCCN,C8H19N,TargetMol,TYD-01926,8143.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W032014S;TargetMol:TYD-01926,2,,,__ACYCLIC__IOQPZZOEVPZRBK
IORBWJQXSCJOCL,L,294.10845,M1 of dolutegravir,C[C@@H]1CCO[C@H]2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N12,C13H15N3O5,MedChemexpress MCE,HY-W749636,118753072.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W749636;TargetMol:T36793,2,,,O=C1c2cc(=O)ccn2CC2OCCCN12
IOSZDNOGOPHEPH,L,172.04268,Tizoprolic Acid,CCCc1ncc(C(=O)O)s1,C7H9NO2S,TargetMol,T202538,65773.0,TargetMol,TargetMol:T202538,1,,,c1cscn1
IOUUIFSIQMVYKP,L,257.24751,Myristyl Acetate,CCCCCCCCCCCCCCOC(C)=O,C16H32O2,MedChemexpress MCE,HY-W042284,12531.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W042284;TargetMol:T40735,2,,,__ACYCLIC__IOUUIFSIQMVYKP
IOVKGYFVWSODCN,L,267.07979,Ethyl N-(6-ethoxy-2-benzothiazolyl)carbamate,CCOC(=O)Nc1nc2ccc(OCC)cc2s1,C12H14N2O3S,TargetMol,T34567,193106.0,TargetMol,TargetMol:T34567,1,,,c1ccc2scnc2c1
IOVOJJDSFSXJQN,L,169.04954,"3,5-Dihydroxyphenylacetic acid",O=C(O)Cc1cc(O)cc(O)c1,C8H8O4,TargetMol,TN9389,597768.0,TargetMol,TargetMol:TN9389,1,,,c1ccccc1
IOVXBDYSVBLUMS,L,291.12607,S-acetyl-PEG4-Propargyl,C#CCOCCOCCOCCOCCSC(C)=O,C13H22O5S,MedChemexpress MCE,HY-141350,119058285.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-141350;TargetMol:T16825,2,,,__ACYCLIC__IOVXBDYSVBLUMS
IOWJRKAVLALBQB,L,235.09246,Thr-Asp,C[C@@H](O)[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)O,C8H14N2O6,MedChemexpress MCE,HY-P4539,7016067.0,MedChemexpress MCE,MedChemexpress MCE:HY-P4539,1,,,__ACYCLIC__IOWJRKAVLALBQB
IOYHCQBYQJQBSK,L,287.05501,Orobol,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,C15H10O6,MedChemexpress MCE,HY-N3127,5281801.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N3127;TargetMol:TN2019,2,,,O=c1c(-c2ccccc2)coc2ccccc12
IOYVGPITPVKNSC,L,213.08698,Mimosine methyl ester,COC(=O)[C@@H](N)Cn1ccc(=O)c(O)c1,C9H12N2O4,TargetMol,T33388,186729.0,TargetMol,TargetMol:T33388,1,,,O=c1cc[nH]cc1
IOZZDGCOTAVBRK,L,224.98053,3-Chloro-4-propan-2-ylsulfonylthiophene,CC(C)S(=O)(=O)c1cscc1Cl,C7H9ClO2S2,TargetMol,Fr13394,2819857.0,TargetMol,TargetMol:Fr13394,1,,,c1ccsc1
IPASVSRDRRKZCQ,L,281.12845,"2,2-Dimethyl-4-(1-oxidopyridin-1-ium-2-yl)-3,4-dihydrochromene-6-carbonitrile",CC1(C)CC(c2cccc[n+]2[O-])c2cc(C#N)ccc2O1,C17H16N2O2,MedChemexpress MCE,HY-121917,6336385.0,MedChemexpress MCE,MedChemexpress MCE:HY-121917,1,,,c1ccc(C2CCOc3ccccc32)[nH+]c1
IPAVEOUAXMIIKX,L,245.08084,Eriobofuran,COc1cc2c(oc3ccccc32)c(OC)c1O,C14H12O4,MedChemexpress MCE,HY-N10101,178939.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N10101;TargetMol:TN5680,2,,,c1ccc2c(c1)oc1ccccc12
IPAVKOYJGUMINP,L,259.09246,"1-[(2R,4R,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(hydroxymethyl)pyrimidine-2,4-dione",O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@@H](CO)O2)cc1CO,C10H14N2O6,MedChemexpress MCE,HY-129983,44289445.0,MedChemexpress MCE,MedChemexpress MCE:HY-129983,1,,,O=c1ccn(C2CCCO2)c(=O)[nH]1
IPBCLSWKZDZRKQ,L,255.10157,Isoflavidinin,COc1cc2c3c(c1)OCc1cc(O)cc(c1-3)CC2,C16H14O3,TargetMol,TN4290,71440625.0,TargetMol,TargetMol:TN4290,1,,,c1cc2c3c(c1)COc1cccc(c1-3)CC2
IPBCWPPBAWQYOO,L,289.21958,Tetradecylthioacetic acid,CCCCCCCCCCCCCCSCC(=O)O,C16H32O2S,MedChemexpress MCE,HY-139040,114924.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-139040;TargetMol:T9808,2,,,__ACYCLIC__IPBCWPPBAWQYOO
IPBFYZQJXZJBFQ,L,143.10666,gamma-Octalactone,CCCCC1CCC(=O)O1,C8H14O2,TargetMol,TN9254,7704.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W017562S;TargetMol:TN9254,2,,,O=C1CCCO1
IPBVNPXQWQGGJP,L,137.05971,Phenyl acetate,CC(=O)Oc1ccccc1,C8H8O2,MedChemexpress MCE,HY-128733,31229.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-128733;MedChemexpress MCE:HY-128733R;MedChemexpress MCE:HY-128733S;TargetMol:T0650,4,,,c1ccccc1
IPCMVRZVNJHUHR,L,136.05054,"2,1,3-Benzoxadiazol-4-amine",Nc1cccc2nonc12,C6H5N3O,TargetMol,TPL0542,584570.0,TargetMol,TargetMol:TPL0542,1,,,c1ccc2nonc2c1
IPDFPNNPBMREIF,L,255.19547,Propyl 3-oxo-2-pentylcyclopentaneacetate,CCCCCC1C(=O)CCC1CC(=O)OCCC,C15H26O3,MedChemexpress MCE,HY-112101,11184378.0,MedChemexpress MCE;Selleck Chemicals;TargetMol,MedChemexpress MCE:HY-112101;Selleck Chemicals:S5622;TargetMol:T7220,3,,,O=C1CCCC1
IPDUSAIGZTXWBL,L,197.08084,"(5E)-5-[(E)-4,5-dihydroxyhex-2-enylidene]furan-2-one",CC(O)C(O)/C=C/C=C1\C=CC(=O)O1,C10H12O4,TargetMol,T127918,155978761.0,TargetMol,TargetMol:T127918,1,,,C=C1C=CC(=O)O1
IPGAFOVEIIWXFR,L,242.11756,CV 6504,CC1=C(C)C(=O)C(Cc2cccnc2)=C(C)C1=O,C15H15NO2,TargetMol,T71322,93543.0,TargetMol,TargetMol:T71322,1,,,O=C1C=CC(=O)C(Cc2cccnc2)=C1
IPISOFJLWYBCAV,L,295.18236,"tert-butyl 4-(tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole-1-carboxylate",CC(C)(C)OC(=O)n1cc(B2OC(C)(C)C(C)(C)O2)cn1,C14H23BN2O4,MedChemexpress MCE,HY-W003233,16217654.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W003233;TargetMol:TYD-00180,2,,,c1n[nH]cc1B1OCCO1
IPIVAXLHTVNRBS,L,191.11972,Decanoyl chloride,CCCCCCCCCC(=O)Cl,C10H19ClO,MedChemexpress MCE,HY-W127342,66982.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W127342;TargetMol:T71995,2,,,__ACYCLIC__IPIVAXLHTVNRBS
IPJGAEWUPXWFPL,L,269.05568,"N,N'-1,3-Phenylenedimaleimide",O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1,C14H8N2O4,TargetMol,T33554,18156.0,TargetMol,TargetMol:T33554,1,,,O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1
IPJUIRDNBFZGQN,L,254.1023,N-((Benzyloxy)carbonyl)-L-threonine,C[C@@H](O)[C@H](NC(=O)OCc1ccccc1)C(=O)O,C12H15NO5,MedChemexpress MCE,HY-W011891,88217.0,MedChemexpress MCE,MedChemexpress MCE:HY-W011891;MedChemexpress MCE:HY-W011892,2,,,c1ccccc1
IPKFWLRXFSUTDZ,L,181.10839,"5-(3-Ethyl-1,2,4-oxadiazol-5-yl)-1,4,5,6-tetrahydropyrimidine",CCc1noc(C2CN=CNC2)n1,C8H12N4O,MedChemexpress MCE,HY-U00230,9815409.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-U00230;TargetMol:T10731;TargetMol:T80662,3,,,C1=NCC(c2ncno2)CN1
