group_key,ce_numeric,mu,source
DPSPPJIUMHPXMA,60.0,0.8687454074336827,WUR
DPSPPJIUMHPXMA,75.0,0.7743358852483199,WUR
DPSPPJIUMHPXMA,90.0,0.6692303248951961,WUR
DQJCHOQLCLEDLL,30.0,0.9915707952995496,WUR
DQJCHOQLCLEDLL,45.0,0.939866066082492,WUR
DQJCHOQLCLEDLL,60.0,0.8168611024680482,WUR
DQJCHOQLCLEDLL,75.0,0.704944619666378,WUR
DQJCHOQLCLEDLL,90.0,0.5988127555136893,WUR
DRLFMBDRBRZALE,30.0,0.7628554929827652,WUR
DRLFMBDRBRZALE,45.0,0.7295574037253184,WUR
DRLFMBDRBRZALE,60.0,0.6698075994192083,WUR
DRLFMBDRBRZALE,75.0,0.6175868302517626,WUR
DRLFMBDRBRZALE,90.0,0.5752319057123795,WUR
DUEPRVBVGDRKAG,30.0,0.6668748441898524,WUR
DUEPRVBVGDRKAG,45.0,0.5697018254901727,WUR
DUEPRVBVGDRKAG,60.0,0.5175407344324328,WUR
DUEPRVBVGDRKAG,75.0,0.4787809708141445,WUR
DUEPRVBVGDRKAG,90.0,0.43351910216029826,WUR
DWTTZBARDOXEAM,30.0,0.6231541663544689,WUR
DWTTZBARDOXEAM,45.0,0.4764584658537689,WUR
DWTTZBARDOXEAM,60.0,0.40209714135306474,WUR
DWTTZBARDOXEAM,75.0,0.3548313791476209,WUR
DWTTZBARDOXEAM,90.0,0.32094299299634127,WUR
FAUAZXVRLVIARB,30.0,0.583552119071565,WUR
FAUAZXVRLVIARB,45.0,0.47234750693562916,WUR
FAUAZXVRLVIARB,60.0,0.39253119124946867,WUR
FAUAZXVRLVIARB,75.0,0.34266201625622456,WUR
FAUAZXVRLVIARB,90.0,0.3121254690052552,WUR
FEMZDTCUQKSHTJ,30.0,0.8109771238955279,WUR
FEMZDTCUQKSHTJ,45.0,0.5169090296694133,WUR
FEMZDTCUQKSHTJ,60.0,0.32663326050017755,WUR
FEMZDTCUQKSHTJ,75.0,0.3012372564577999,WUR
FEMZDTCUQKSHTJ,90.0,0.28284506673051063,WUR
FEVBMCJUKWWWBT,30.0,0.2335559352178401,WUR
FEVBMCJUKWWWBT,45.0,0.16775143288077174,WUR
FEVBMCJUKWWWBT,60.0,0.13596608789924558,WUR
FEVBMCJUKWWWBT,75.0,0.12218186954529733,WUR
FEVBMCJUKWWWBT,90.0,0.11267757572114646,WUR
FFCCBBNQPIMUJI,30.0,0.7859460156819208,WUR
FFCCBBNQPIMUJI,45.0,0.548724584606721,WUR
FFCCBBNQPIMUJI,60.0,0.4646146531304129,WUR
FFCCBBNQPIMUJI,75.0,0.4401205233574085,WUR
FFCCBBNQPIMUJI,90.0,0.4210780586907168,WUR
FIKQKGFUBZQEBL,30.0,0.5737219563836381,WUR
FIKQKGFUBZQEBL,45.0,0.5744597224997621,WUR
FIKQKGFUBZQEBL,60.0,0.4910272077133014,WUR
FIKQKGFUBZQEBL,75.0,0.4667596702216106,WUR
FIKQKGFUBZQEBL,90.0,0.42786995073206746,WUR
FIPWRIJSWJWJAI,30.0,0.4886945889958205,WUR
FIPWRIJSWJWJAI,45.0,0.46119617403447766,WUR
FIPWRIJSWJWJAI,60.0,0.4032550629103062,WUR
FIPWRIJSWJWJAI,75.0,0.36082562910117955,WUR
FIPWRIJSWJWJAI,90.0,0.330246944798607,WUR
FMGSKLZLMKYGDP,30.0,0.6701524352909014,WUR
FMGSKLZLMKYGDP,45.0,0.5660347296139824,WUR
FMGSKLZLMKYGDP,60.0,0.48729430203232077,WUR
FMGSKLZLMKYGDP,75.0,0.4442638408051325,WUR
FMGSKLZLMKYGDP,90.0,0.4097350239791199,WUR
FMWJEBGSMAOQNN,30.0,0.7775981975024429,WUR
FMWJEBGSMAOQNN,45.0,0.5291930056674005,WUR
FMWJEBGSMAOQNN,60.0,0.33537389029955367,WUR
FMWJEBGSMAOQNN,75.0,0.29738323259421706,WUR
FMWJEBGSMAOQNN,90.0,0.2752872283770856,WUR
FOUWCSDKDDHKQP,30.0,0.7849756641318776,WUR
FOUWCSDKDDHKQP,45.0,0.5721035210245642,WUR
FOUWCSDKDDHKQP,60.0,0.4280338623171887,WUR
FOUWCSDKDDHKQP,75.0,0.35479630243777005,WUR
FOUWCSDKDDHKQP,90.0,0.32234823186873107,WUR
FQEQMASDZFXSJI,30.0,0.8819435675094158,WUR
FQEQMASDZFXSJI,45.0,0.6764785227511497,WUR
FQEQMASDZFXSJI,60.0,0.5172045125202339,WUR
FQEQMASDZFXSJI,75.0,0.4505557159526634,WUR
FQEQMASDZFXSJI,90.0,0.397193524184409,WUR
FROBCXTULYFHEJ,30.0,0.2560241220585711,WUR
FROBCXTULYFHEJ,45.0,0.23828000874780433,WUR
FROBCXTULYFHEJ,60.0,0.23137099115895027,WUR
FROBCXTULYFHEJ,75.0,0.21639416357958285,WUR
FROBCXTULYFHEJ,90.0,0.21924413576882926,WUR
FULAPETWGIGNMT,30.0,0.4748496255798107,WUR
FULAPETWGIGNMT,45.0,0.3866119514162311,WUR
FULAPETWGIGNMT,60.0,0.3374357059690868,WUR
FULAPETWGIGNMT,75.0,0.3196463125159941,WUR
FULAPETWGIGNMT,90.0,0.3222168841495232,WUR
FVQITOLOYMWVFU,30.0,0.5856446736826773,WUR
FVQITOLOYMWVFU,45.0,0.4541493448379532,WUR
FVQITOLOYMWVFU,60.0,0.3889704498094117,WUR
FVQITOLOYMWVFU,75.0,0.36548807138680317,WUR
FVQITOLOYMWVFU,90.0,0.34793597238484003,WUR
FYZBOYWSHKHDMT,30.0,0.477290741925994,WUR
FYZBOYWSHKHDMT,45.0,0.44894842798476986,WUR
FYZBOYWSHKHDMT,60.0,0.4160917381508921,WUR
