record_id,compound_id,recorded_key14,representative_smiles,formula,theoretical_mh,deposited_precursor_mz,nce,instrument,instrument_type,resolution,release,scaffold_group,source_file,blob_sha,order_index
MSBNK-Eawag-EQ01155204,OAIGZXXQYIJBLR,OAIGZXXQYIJBLR,C[N+](C)(CCOC(c1ccccc1)c1ccccc1)C1OC(C(=O)[O-])C(O)C(O)C1O,C23H29NO7,432.20167873487986,432.2017,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,c1ccc(C(OCC[NH2+]C2CCCCO2)c2ccccc2)cc1,MSBNK-Eawag-EQ01155204.txt,6228182950d34f4b04ed3c5443fbdafd332cb28a,43
MSBNK-Eawag-EQ1090202,OKOBUGCCXMIKDM,OKOBUGCCXMIKDM,CC(C)(C)c1cc(CCC(=O)NCCCCCCNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C40H64N2O4,637.4938849948799,637.4939,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)NCCCCCCNC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1090202.txt,e7ffdbe41c8223e866be87e44a195a30825dd8c5,44
MSBNK-Eawag-EQ1090204,OKOBUGCCXMIKDM,OKOBUGCCXMIKDM,CC(C)(C)c1cc(CCC(=O)NCCCCCCNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C40H64N2O4,637.4938849948799,637.4939,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)NCCCCCCNC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1090204.txt,992357963e99c160238c65e31093bdbea6ea3518,45
MSBNK-Eawag-EQ01074902,OMVSWZDEEGIJJI,OMVSWZDEEGIJJI,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,C16H30O4,287.22168590688,287.2217,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__OMVSWZDEEGIJJI,MSBNK-Eawag-EQ01074902.txt,d0ddfbacd741b4fe07b86be0f85d0c6e2c682407,46
MSBNK-Eawag-EQ01074904,OMVSWZDEEGIJJI,OMVSWZDEEGIJJI,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,C16H30O4,287.22168590688,287.2217,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__OMVSWZDEEGIJJI,MSBNK-Eawag-EQ01074904.txt,00e7b07e63bbb9d5c1eb2177708f8229abb1d92f,47
MSBNK-Eawag-EQ01074907,OMVSWZDEEGIJJI,OMVSWZDEEGIJJI,CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,C16H30O4,287.22168590688,287.2217,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__OMVSWZDEEGIJJI,MSBNK-Eawag-EQ01074907.txt,706f5fe8c56a44e640f941336f6446a8ada0bacb,48
MSBNK-Eawag-EQ1090302,OXWDLAHVJDUQJM,OXWDLAHVJDUQJM,CC(C)(C)c1cc(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C40H60N2O8,697.4422433468799,697.4422,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1090302.txt,dda592c24cd8c5351bd7fd2dc2d8e5d639df840e,49
MSBNK-Eawag-EQ1090304,OXWDLAHVJDUQJM,OXWDLAHVJDUQJM,CC(C)(C)c1cc(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C40H60N2O8,697.4422433468799,697.4422,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1090304.txt,8b89f8d928b1ca01d53c5f12393c83923d781e06,50
MSBNK-Eawag-EQ1090402,QSRJVOOOWGXUDY,QSRJVOOOWGXUDY,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C34H50O8,587.35784502688,587.3578,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1090402.txt,5136dfb3d8c5504c58778f8b3e9521bd1250b031,51
MSBNK-Eawag-EQ1090404,QSRJVOOOWGXUDY,QSRJVOOOWGXUDY,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,C34H50O8,587.35784502688,587.3578,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,MSBNK-Eawag-EQ1090404.txt,e9dbba9b574b4e32265f3c921cc4cba38741d3a6,52
