accession,num_peak,precursor_type,precursor_mz,ion_mode,ce_value,key,parent_charge,mh_mz_from_parent,in_tree_2023_11
MSBNK-BAFG-CSL23111018343,38,[M-H]-,314.0338,NEGATIVE,40.0,DGBIGWXXNGSACT,0,316.048345326812,True
MSBNK-BAFG-CSL25011734636,47,[M+H]+,288.0615,POSITIVE,80.0,LJOXBIGRIKPBSQ,0,288.061496854812,False
MSBNK-BAFG-CSL23111012382,44,[M]+,483.5053,POSITIVE,120.0,WFIYFFUAOQKJJS,1,484.5125916929021,True
MSBNK-BAFG-CSL2311096021,31,[M+H]+,837.5318,POSITIVE,90.0,RXZBMPWDPOLZGW,0,837.5318461988119,True
MSBNK-BAFG-CSL23111014330,54,[M+H]+,363.0218,POSITIVE,150.0,BXNANOICGRISHX,0,363.021735388812,True
MSBNK-BAFG-CSL2311093741,60,[M+H]+,350.1347,POSITIVE,120.0,HYFMSAFINFJTFH,0,350.1346617948121,True
MSBNK-BAFG-CSL2311091930,8,[M-H]-,340.1337,NEGATIVE,60.0,BGRJTUBHPOOWDU,0,342.14820368281204,True
MSBNK-BAFG-CSL2311106435,4,[M+H]+,488.0822,POSITIVE,40.0,AOWQKFDVSZMKPA,0,488.082170746812,True
MSBNK-BAFG-CSL2311108670,13,[M+H]+,298.126,POSITIVE,110.0,ZEUITGRIYCTCEM,0,298.12601169481206,True
MSBNK-BAFG-CSL2311093306,4,[M+H]+,314.0935,POSITIVE,30.0,CPEUVMUXAHMANV,0,314.093545930812,True
MSBNK-BAFG-CSL2311093516,10,[M+H]+,207.1492,POSITIVE,30.0,PUIYMUZLKQOUOZ,0,207.149189662812,True
MSBNK-BAFG-CSL2311091852,2,[M-H]-,231.0097,NEGATIVE,20.0,XMTQQYYKAHVGBJ,0,233.024294766812,True
MSBNK-BAFG-CSL2311109338,2,[M+H]+,163.0502,POSITIVE,60.0,SDQJTWBNWQABLE,0,163.050203898812,True
MSBNK-BAFG-CSL2311108350,4,[M+H]+,505.2105,POSITIVE,120.0,GHXZTYHSJHQHIJ,0,505.2104727868121,True
MSBNK-BAFG-CSL2311106595,13,[M+H]+,187.0754,POSITIVE,20.0,ZSBDGXGICLIJGD,0,187.075356026812,True
MSBNK-BAFG-CSL25011734613,2,[M+H]+,321.0064,POSITIVE,10.0,JKYKXTRKURYNGW,0,321.006350062812,False
MSBNK-BAFG-CSL23111011177,2,[M-H]-,366.0729,NEGATIVE,20.0,UKILEIRWOYBGEJ,0,368.0874952468119,True
MSBNK-BAFG-CSL23111012340,3,[M]+,397.1716,POSITIVE,60.0,QCMHSYZNHGLMAU,1,398.178854968902,True
MSBNK-BAFG-CSL23111016249,9,[M]+,116.107,POSITIVE,150.0,LRQFRDLKOBFOSG,1,117.114266954902,True
MSBNK-BAFG-CSL23111010217,4,[M+H]+,166.0863,POSITIVE,130.0,FGOFNVXHDGQVBG,0,166.086255058812,True
MSBNK-BAFG-CSL23111011069,6,[M-H]-,248.0014,NEGATIVE,30.0,PGOOBECODWQEAB,0,250.015999642812,True
MSBNK-BAFG-CSL23111010291,1,[M+H]+,310.1413,POSITIVE,40.0,RTHCYVBBDHJXIQ,0,310.141325322812,True
MSBNK-BAFG-CSL23111016058,7,[M+H]+,284.0716,POSITIVE,40.0,WKBPZYKAUNRMKP,0,284.07157930681205,True
MSBNK-BAFG-CSL23111012486,10,[M+H]+,222.1125,POSITIVE,140.0,PXXLQQDIFVPNMP,0,222.112469806812,True
MSBNK-BAFG-CSL23111014369,13,[M+H]+,342.1467,POSITIVE,20.0,IOYNQIMAUDJVEI,0,342.1466623948119,True
MSBNK-BAFG-CSL23111017932,11,[M+H]+,472.321,POSITIVE,40.0,GUGOEEXESWIERI,0,472.32100601881194,True
MSBNK-BAFG-CSL23111018434,19,[M+H]+,354.2428,POSITIVE,40.0,SNTQPLDRUZOSDP,0,354.24275569881206,True
MSBNK-BAFG-CSL2311094663,23,[M+H]+,195.0877,POSITIVE,40.0,RYYVLZVUVIJVGH,0,195.087652026812,True
MSBNK-BAFG-CSL2311108481,25,[M+H]+,273.1267,POSITIVE,90.0,ZBMZVLHSJCTVON,0,273.126739966812,True
MSBNK-BAFG-CSL2311107935,22,[M+H]+,352.1467,POSITIVE,30.0,ZEKZLJVOYLTDKK,0,352.146724374812,True
MSBNK-BAFG-CSL23111010417,24,[M+H]+,250.1186,POSITIVE,140.0,RAOCRURYZCVHMG,0,250.118617806812,True
MSBNK-BAFG-CSL2311107936,23,[M+H]+,352.1467,POSITIVE,130.0,ZEKZLJVOYLTDKK,0,352.146724374812,True
MSBNK-BAFG-CSL23111016793,24,[M+H]+,335.1965,POSITIVE,40.0,CCLGNFZMWMCRCH,0,335.196533778812,True
MSBNK-BAFG-CSL23111018835,59,[M+H]+,316.1076,POSITIVE,70.0,FQKUGOMFVDPBIZ,0,316.107606916812,True
MSBNK-BAFG-CSL2311095154,86,[M+H]+,360.1718,POSITIVE,100.0,SPFYMRJSYKOXGV,0,360.171796250812,True
MSBNK-BAFG-CSL2311093093,125,[M+H]+,505.3245,POSITIVE,150.0,IZEKFCXSFNUWAM,0,505.3245282268121,True
MSBNK-BAFG-CSL2311091889,8,[M-H]-,219.0218,NEGATIVE,20.0,XQMRZWSYBUCVAX,0,221.036383674812,True
MSBNK-BAFG-CSL2311107724,3,[M+H]+,301.1408,POSITIVE,10.0,OCSMNHMMTKMVCP,0,301.140750218812,True
MSBNK-BAFG-CSL2311094907,9,[M+H]+,297.0556,POSITIVE,120.0,PZBPKYOVPCNPJY,0,297.055594894812,True
MSBNK-BAFG-CSL2311092751,4,[M-H]-,445.1994,NEGATIVE,80.0,VTRAEEWXHOVJFV,0,447.213915158812,True
MSBNK-BAFG-CSL2311108571,8,[M+H]+,240.115,POSITIVE,20.0,SNPPWIUOZRMYNY,0,240.114968342812,True
MSBNK-BAFG-CSL2311093471,9,[M+H]+,280.1907,POSITIVE,20.0,HBXKSXMNNGHBEA,0,280.19072012681204,True
MSBNK-BAFG-CSL2311107448,7,[M+H]+,202.0854,POSITIVE,60.0,ODCWYMIRDDJXKW,0,202.08539953081197,True
MSBNK-BAFG-CSL2311092459,12,[M-H]-,194.0611,NEGATIVE,150.0,FZEYVTFCMJSGMP,0,196.075690374812,True
MSBNK-BAFG-CSL2311091478,4,[M-H]-,421.1549,NEGATIVE,120.0,PSIFNNKUMBGKDQ,0,423.1694635028121,True
MSBNK-BAFG-CSL2311093940,11,[M+H]+,226.1662,POSITIVE,120.0,ISEUFVQQFVOBCY,0,226.16623669481197,True
