compound,smiles,formula_calc,parent_key,taut_key,skel_key,scaffold_group,n_mh_spectra,single_ce,n_single_ce,chimeric_flag,in_muru_registry,group_in_muru_registry_groups,in_pr7,group_in_pr7,in_comparator,group_in_comparator,in_msg15,group_in_msg15,msg15_pk_hit,msg15_taut_hit,msg15_skel_hit,msg15_new_hit_smiles,muru_dev_pop_pk_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,muru_dev_pop_new_hit_smiles,pr7_pk_hit,pr7_taut_hit,pr7_skel_hit,pr7_new_hit_smiles,comparator_pk_hit,comparator_taut_hit,comparator_skel_hit,comparator_new_hit_smiles,taut_or_skel_new_hit
Nivalenol,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@@H](O)[C@](C)([C@@]2(CO)[C@H](O)C1=O)[C@]31CO1,C15H20O7,UKOTXHQERFPCBU,YJZOIBYRKVITQF,RPQIGRVQPMYYQE,O=C1C=CC2OC3CCC(C2C1)C31CO1,10,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Norfloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,C16H18FN3O3,OGJPXUAPXNRGGI,OGJPXUAPXNRGGI,HUPTTXWXFYYETG,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,15,,0,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Ochratoxin A,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,C20H18ClNO6,RWQKHEORZBHNRI,RWQKHEORZBHNRI,QQSUSRKZSYXYRV,O=C(NCCc1ccccc1)c1ccc2c(c1)C(=O)OCC2,15,20;25;30;35;40;45,6,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Ochratoxin alpha,C[C@@H]1Cc2c(Cl)cc(C(=O)O)c(O)c2C(=O)O1,C11H9ClO5,OSFWJKYWJMZKSM,OSFWJKYWJMZKSM,ZNNWIBKOUIREAL,O=C1OCCc2ccccc21,4,20;25;30;35;45;50;60;65;70,9,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Ochratoxin B,C[C@@H]1Cc2c(C(=O)O1)c(O)c(C(=O)N[C@@H](Cc1ccccc1)C(=O)O)cc2,C20H19NO6,DAEYIVCTQUFNTM,DAEYIVCTQUFNTM,FXMWYUYVJOBOEP,O=C(NCCc1ccccc1)c1ccc2c(c1)C(=O)OCC2,15,30;35;40;45;50;55;65;70,8,Yes,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Octyl methoxycinnamate,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,C18H26O3,YBGZDTIWKVFICR,YBGZDTIWKVFICR,ZVTZFRSASVRHLH,c1ccccc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
PhIP,Cn1c(N)nc2c1cc(-c1ccccc1)cn2,C13H12N4,UQVKZNNCIHJZLS,UQVKZNNCIHJZLS,WKVPZQNXHVJZEH,c1ccc(-c2cnc3nc[nH]c3c2)cc1,15,,0,Yes,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Propiconazole,CCCC1COC(Cn2cncn2)(c2c(Cl)cc(Cl)cc2)O1,C15H17Cl2N3O2,STJLVHWMYQXCPB,STJLVHWMYQXCPB,IIIMDLPPMNUETR,c1ccc(C2(Cn3cncn3)OCCO2)cc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Riddelliine,C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,C18H23NO6,SVCNNZDUGWLODJ,SVCNNZDUGWLODJ,KYQAHGFBEPDWDW,C=C1CC(=C)C(=O)OC2CCN3CC=C(COC(=O)C1)C23,15,,0,No,True,True,False,False,False,False,False,True,False,False,False,,True,True,True,,False,False,False,,False,False,False,,False
Riddelliine-N-oxide,C=C1C/C(=C/C)C(=O)O[C@@H]2CC[N+]3([O-])CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,C18H23NO7,NPENPMDVCQGSSO,NPENPMDVCQGSSO,,C=C1CC(=C)C(=O)OC2CC[NH+]3CC=C(COC(=O)C1)C23,15,,0,No,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Roxithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C41H76N2O15,RXZBMPWDPOLZGW,RXZBMPWDPOLZGW,UKVZMKHJZHEKEP,N=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,15,20;25;30;35;40;45;50;55;60;70,10,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
SN-38-glucuronide,CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc2c1cc(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)cc2,C28H28N2O11,SSJQVDUAKDRWTA,SSJQVDUAKDRWTA,QBKJDTOBCYBQNU,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC4CCCCO4)ccc2nc1-3,15,,0,Yes,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Sterigmatocystin,COc1c2c(=O)c3c(O)cccc3oc2c2c(c1)O[C@H]1OC=C[C@@H]21,C18H12O6,UTSVPXMQSFGQTM,UTSVPXMQSFGQTM,PZNLDMVWUBZBBE,O=c1c2ccccc2oc2c3c(ccc12)OC1OC=CC31,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Sulfadiazine,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,C10H10N4O2S,SEEPANYCNGTZFQ,SEEPANYCNGTZFQ,ZKWHDVLSVJYUEY,O=S(=O)(Nc1ncccn1)c1ccccc1,11,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Sulfadimethoxine,COc1nc(OC)nc(NS(=O)(=O)c2ccc(N)cc2)c1,C12H14N4O4S,ZZORFUFYDOWNEF,ZZORFUFYDOWNEF,ANEILGZRCYSLMU,O=S(=O)(Nc1ccncn1)c1ccccc1,15,20;25;30;40;50,5,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Sulfamethazine,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,C12H14N4O2S,ASWVTGNCAZCNNR,ASWVTGNCAZCNNR,GSGGUNYPVABMMA,O=S(=O)(Nc1ncccn1)c1ccccc1,13,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,C10H11N3O3S,JLKIGFTWXXRPMT,JLKIGFTWXXRPMT,QRCHBKXVIHYTAV,O=S(=O)(Nc1ccon1)c1ccccc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
T-2 toxin,CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,C24H34O9,BXFOFFBJRFZBQZ,BXFOFFBJRFZBQZ,ANTYFYSKCNZGOK,C1=CC2OC3CCC(C2CC1)C31CO1,7,20;25;30;35;40;45;50;55;60;65;70,11,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Tebuconazole,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,C16H22ClN3O,PXMNMQRDXWABCY,PXMNMQRDXWABCY,VXGAKYZOAALZEF,c1ccc(CCCCn2cncn2)cc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,C16H25NO2,TVYLLZQTGLZFBW,TVYLLZQTGLZFBW,OHKMFPLJSJWLDZ,c1ccc(C2CCCCC2)cc1,15,20;25;50;60,4,Yes,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Trans-3-hydroxycotinine,CN1C(=O)[C@H](O)C[C@H]1c1cnccc1,C10H12N2O2,XOKCJXZZNAUIQN,XOKCJXZZNAUIQN,FJFGZJIZDCAUMG,O=C1CCC(c2cccnc2)N1,15,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Tri-n-butyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,C12H27O4P,STCOOQWBFONSKY,STCOOQWBFONSKY,UFLOFWKUCDVTKL,__ACYCLIC__STCOOQWBFONSKY,22,20;25;40;55;65;70,6,No,False,False,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Triclocarban,O=C(Nc1ccc(Cl)cc1)Nc1cc(Cl)c(Cl)cc1,C13H9Cl3N2O,ICUTUKXCWQYESQ,ICUTUKXCWQYESQ,KZALFHWRCHIEHV,O=C(Nc1ccccc1)Nc1ccccc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,C14H18N4O3,IEDVJHCEMCRBQM,IEDVJHCEMCRBQM,YREHKFYCFALQKD,c1ccc(Cc2cncnc2)cc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Triphenyl phosphate,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,C18H15O4P,XZZNDPSIHUTMOC,XZZNDPSIHUTMOC,COJYLHCROIAWGA,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,15,20;25;30;40;45;50;65,7,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
