group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
UIKROCXWUNQSPJ,O=C1CC[C@@H](c2cccnc2)N1,177.1022,25.0,1.0,2.0,1.0,6.0,33.2,0.23076923076923078,2.0,1.0,0.0,0.0,LCSB
UIOFUWFRIANQPC,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,454.063720703125,47.0,4.0,4.0,2.0,12.5,112.74000000000001,0.36666666666666664,3.0,5.0,1.0,2.0,WUR
ULSLJYXHZDTLQK,O=c1oc2ccccc2cc1C1CCCc2ccccc21,293.1172,38.0,1.0,4.0,3.0,13.5,50.44,0.13636363636363635,0.0,3.0,0.0,0.0,LCSB
UNYCSANQWMNNCS,O=C(NCc1cccnc1)c1ccccc1C1C(=O)N(Cc2ccccc2)c2ccccc21,604.1764,73.0,9.0,5.0,4.0,19.0,71.97000000000001,0.21428571428571427,3.0,4.0,0.0,2.0,LCSB
UQCSETXJXJTMKO,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,671.458618164063,105.0,7.0,1.0,0.0,7.0,139.83,0.2608695652173913,3.0,9.0,0.0,0.0,WUR
URDNHJIVMYZFRT,c1ccc(CCn2cncn2)cc1,328.097961425781,40.0,4.0,2.0,2.0,7.5,50.94,0.2857142857142857,3.0,1.0,0.0,2.0,WUR
UREBDLICKHMUKA,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,393.2072,57.0,2.0,4.0,0.0,8.0,94.83,0.21428571428571427,0.0,5.0,0.0,1.0,LCSB
USRKFGIXLGKMKU,c1ccc2scnc2c1,382.16015625,50.0,6.0,2.0,2.0,9.0,80.32,0.3076923076923077,3.0,3.0,1.0,1.0,WUR
USSIQXCVUWKGNF,c1ccc(Cc2ccccc2)cc1,310.2165,50.0,7.0,2.0,2.0,9.0,20.310000000000002,0.08695652173913043,1.0,1.0,0.0,0.0,LCSB
UTOHZQYBSYOOGC,O=c1[nH][nH]cc1-c1ccccc1,332.142761230469,44.0,4.0,2.0,2.0,10.5,70.02000000000001,0.2608695652173913,3.0,2.0,1.0,0.0,WUR
UURAUHCOJAIIRQ,O=C1CC[C@]23CCCCCC(CCC2)[C@H]13,494.329803466797,81.0,9.0,3.0,0.0,6.0,66.84,0.17647058823529413,1.0,4.0,1.0,0.0,WUR
UVBUBMSSQKOIBE,__ACYCLIC__UVBUBMSSQKOIBE,722.395874023438,109.0,29.0,0.0,0.0,6.0,288.51,0.32,1.0,15.0,0.0,0.0,WUR
UVLBAPBHAHFJSY,c1ccc(C2=Nc3c[nH]nc3Nc3ccccc32)cc1,354.0752,37.0,2.0,4.0,3.0,14.5,96.21000000000001,0.32,5.0,2.0,0.0,1.0,LCSB
UWFYSQMTEOIJJG,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2[C@H]2C[C@@H]12,417.1827,58.0,2.0,5.0,0.0,10.0,60.440000000000005,0.1724137931034483,0.0,4.0,0.0,1.0,LCSB
UWVQIROCRJWDKL,O=C1OCCN1Nc1ccccc1,279.1339,38.0,4.0,2.0,1.0,7.0,59.080000000000005,0.3,2.0,4.0,0.0,0.0,LCSB
UWYHMGVUTGAWSP,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,402.111633300781,47.0,4.0,4.0,2.0,12.5,112.74000000000001,0.32142857142857145,3.0,5.0,1.0,0.0,WUR
VACCAVUAMIDAGB,O=S(=O)(Nc1nncs1)c1ccccc1,271.031616210938,27.0,3.0,2.0,2.0,9.5,97.97,0.47058823529411764,4.0,2.0,2.0,0.0,WUR
VAIZTNZGPYBOGF,c1ccc(Oc2ccccn2)cc1,384.1417,47.0,8.0,2.0,2.0,9.0,57.650000000000006,0.2962962962962963,1.0,4.0,0.0,3.0,LCSB
VAOCPAMSLUNLGC,c1c[nH]cn1,172.0717,21.0,3.0,1.0,1.0,4.5,81.19,0.5,3.0,3.0,0.0,0.0,LCSB
