"ID","Name","SMILES","CAS","RT"
1182,"Diphenyl isophthalate","O=C(OC1=CC=CC=C1)C1=CC(=CC=C1)C(=O)OC1=CC=CC=C1","",NA
1183,"N-Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine","C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1","",NA
1184,"2-(1-Methylbutyl)phenol","CCCC(C)C1=C(O)C=CC=C1","",NA
1185,"Methfuroxam","CC1=C(C)C(C(=O)NC2=CC=CC=C2)=C(C)O1","",NA
1186,"3-Methyl-3,4-dihydro-2H-1,4-benzoxazine","CC1COC2=C(N1)C=CC=C2","",NA
1187,"CI-959","COC1=CC2=C(SC(C(=O)NC3=NN=NN3)=C2OC(C)C)C=C1","",NA
1188,"N,N'-Dicyclohexylthiourea","S=C(NC1CCCCC1)NC1CCCCC1","",NA
1189,"Diisobutyl phthalate","CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C","",NA
1190,"Tebuconazole","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1","",NA
1191,"4-Chlorophenoxyacetic acid","OC(=O)COC1=CC=C(Cl)C=C1","",NA
1192,"Ethyl 3-(N-butylacetamido)propionate","CCCCN(CCC(=O)OCC)C(C)=O","",NA
1193,"Triazophos","CCOP(=S)(OCC)OC1=NN(C=N1)C1=CC=CC=C1","",NA
1194,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate","COC(=O)C1=C(O)C(C)=C(O)C=C1C","",NA
1195,"Dodecylamine","CCCCCCCCCCCCN","",NA
1196,"3-tert-Butylphenol","CC(C)(C)C1=CC=CC(O)=C1","",NA
1197,"PharmaGSID_48518","FC1=CC(Br)=C(C=C1)C(=O)NS(=O)(=O)\C=C\C1=CC=CS1","",NA
