key,name,smiles,sg,formula,taut_key,skel_key,taut_in_msg,skel_in_msg,taut_in_dev,skel_in_dev,taut_in_pr7,skel_in_pr7,taut_in_cmp,skel_in_cmp,msg_same_formula_n,msg_same_formula_max_tanimoto,msg_nn_smiles,in_msnlib9,sg_in_registry,sg_in_pr7,sg_in_comparator,sg_in_msg15,n_nce,nce_ladder,mh_calc,releases,uchem_ids
MBABOKRGFJTBAE,Methyl methanesulfonate,COS(C)(=O)=O,__ACYCLIC__MBABOKRGFJTBAE,C2H6O3S,MBABOKRGFJTBAE,C2H6O3S|COS(C)(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,6,"15,30,45,60,75,90",111.01104151888,2024.11,11118
MBXOLPUMNTXLOV,,CC(=O)[C@H]1CCC[C@@H]2CC[C@H]1N2,C1CCC2CCC(C1)N2,C10H17NO,MBXOLPUMNTXLOV,C10H17NO|CC(O)C1CCCC2CCC1N2,False,False,False,False,False,False,False,False,1,0.122,O=C1CCCN1C1CCCCC1,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",168.13829063088,2025.10,11994
MHSRNZSBNXFMLF,,CC1=C2COC(=O)C2=C(C(=C1O)CC=C(C)CCC(=O)O)O,O=C1OCc2ccccc21,C16H18O6,MHSRNZSBNXFMLF,C16H18O6|CC(CCC(O)O)CCC1C(O)C(C)C2COC(O)C2C1O,False,False,False,False,False,False,False,False,4,0.1486,CC1CCCC2OC2C(=O)c2c(O)cc(O)cc2CC(=O)O1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",307.11761476287995,2024.06,11547
MSJXTBMNRCTIDR,"N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide",CN(C)CCCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__MSJXTBMNRCTIDR,C13H13F17N2O2S,MSJXTBMNRCTIDR,C13H13F17N2O2S|CN(C)CCCNS(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,7,"15,30,45,60,75,90,120",585.04990486288,dev,12006
NHNAFOYMIQFCGO,2-[3-(trifluoromethyl)phenoxy]pyridine-3-carboxamide,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)N)C(F)(F)F,c1ccc(Oc2ccccn2)cc1,C13H9F3N2O2,NHNAFOYMIQFCGO,C13H9F3N2O2|NC(O)C1CCCNC1OC1CCCC(C(F)(F)F)C1,False,False,False,False,False,False,False,False,1,0.4528,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",283.06888865488,dev,11997
NUWWAHKTVOVTNC,"4-[(4,6-dimethylpyrimidin-2-yl)amino]phenol",CC1=CC(=NC(=N1)NC2=CC=C(C=C2)O)C,c1ccc(Nc2ncccn2)cc1,C12H13N3O,NUWWAHKTVOVTNC,C12H13N3O|CC1CC(C)NC(NC2CCC(O)CC2)N1,False,False,False,False,False,False,False,False,1,0.0952,Nc1ccc(Oc2ccc(N)c(N)c2)cc1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",216.11313850288,dev,11880
OAIGZXXQYIJBLR,,C[N+](C)(CCOC(C1=CC=CC=C1)C2=CC=CC=C2)C3C(C(C(C(O3)C(=O)[O-])O)O)O,c1ccc(C(OCC[NH2+]C2CCCCO2)c2ccccc2)cc1,C23H29NO7,OAIGZXXQYIJBLR,C23H29NO7|CN(C)(CCOC(C1CCCCC1)C1CCCCC1)C1OC(C(O)O)C(O)C(O)C1O,False,False,False,False,False,False,False,False,1,0.0978,C/C=C(\C=C(C)\C=C(C)\C=C\C=C(/C)C(=O)[C@]12O[C@H]1[C@@](O)(CCO)NC2=O)C(=O)OC,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",432.20167873487986,2024.06,11552
ODCKICSDIPVTRM,,CC(C)NCC(COC1=CC=C(C2=CC=CC=C21)OS(=O)(=O)O)O,c1ccc2ccccc2c1,C16H21NO6S,ODCKICSDIPVTRM,C16H21NO6S|CC(C)NCC(O)COC1CCC(OS(O)(O)O)C2CCCCC12,False,False,False,False,False,False,False,False,1,0.1429,COCCOCCOc1ccc(C2=N[C@@](C)(C(=O)O)CS2)c(O)c1,False,True,False,False,True,6,"15,30,45,60,75,90",356.1162348588799,2024.06,11551
OKOBUGCCXMIKDM,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)NCCCCCCNC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,O=C(CCc1ccccc1)NCCCCCCNC(=O)CCc1ccccc1,C40H64N2O4,OKOBUGCCXMIKDM,C40H64N2O4|CC(C)(C)C1CC(CCC(O)NCCCCCCNC(O)CCC2CC(C(C)(C)C)C(O)C(C(C)(C)C)C2)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",637.49388499488,2025.10,10902
OMVSWZDEEGIJJI,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,__ACYCLIC__OMVSWZDEEGIJJI,C16H30O4,OMVSWZDEEGIJJI,C16H30O4|CC(C)C(O)OCC(C)(C)C(OC(O)C(C)C)C(C)C,False,False,False,False,False,False,False,False,1,0.1176,O=C(O)CCCCCCCCCCCCCCC(=O)O,False,False,False,False,False,6,"15,30,45,60,75,90",287.22168590688,2024.11,10749
OPEKHRGERHDLRK,,CC(C)(C)C1=CC=C(C=C1)NC2=CC=C(C=C2)C(C)(C)C,c1ccc(Nc2ccccc2)cc1,C20H27N,OPEKHRGERHDLRK,C20H27N|CC(C)(C)C1CCC(NC2CCC(C(C)(C)C)CC2)CC1,False,False,False,False,False,False,False,False,1,0.1111,CCN(CCCc1ccccc1)CCCc1ccccc1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",282.22162633088,2025.10,10961
OQZCSNDVOWYALR,3-chloro-4-(chloromethyl)-1-[3-(trifluoromethyl)phenyl]pyrrolidin-2-one,C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl,O=C1CCCN1c1ccccc1,C12H10Cl2F3NO,OQZCSNDVOWYALR,C12H10Cl2F3NO|OC1C(Cl)C(CCl)CN1C1CCCC(C(F)(F)F)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,False,7,"15,30,45,60,75,90,120",312.01643042688,2024.11,3549
OXWDLAHVJDUQJM,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,C40H60N2O8,OXWDLAHVJDUQJM,C40H60N2O8|CC(C)(C)C1CC(CCC(O)OCCNC(O)C(O)NCCOC(O)CCC2CC(C(C)(C)C)C(O)C(C(C)(C)C)C2)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",697.4422433468799,2025.10,10903
PFANXOISJYKQRP,,CCCC(C1=CC(=C(C=C1C)O)C(C)(C)C)C2=CC(=C(C=C2C)O)C(C)(C)C,c1ccc(Cc2ccccc2)cc1,C26H38O2,PFANXOISJYKQRP,C26H38O2|CCCC(C1CC(C(C)(C)C)C(O)CC1C)C1CC(C(C)(C)C)C(O)CC1C,False,False,False,False,False,False,False,False,1,0.1667,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)ccc1O,False,True,False,False,True,4,"15,30,45,60",383.29445692288,2025.10,10916
PGPRBNDLCZQUST,,CC(C)NC(=O)NS(=O)(=O)C1=C(C=CN=C1)NC2=CC=CC(=C2)C(=O)O,c1ccc(Nc2ccncc2)cc1,C16H18N4O5S,PGPRBNDLCZQUST,C16H18N4O5S|CC(C)NC(O)NS(O)(O)C1CNCCC1NC1CCCC(C(O)O)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",379.10706714287994,2024.06,11428
PHXHZCIAPNNPTQ,"2-Cyclohexen-1-one, 2-(1-((((2E)-3-chloro-2-propenyl)oxy)imino)propyl)-3-hydroxy-5-(tetrahydro-2H-pyran-4-yl)-",CCC(=C1C(=O)CC(CC1=O)C2CCOCC2)NOCC=CCl,C=C1C(=O)CC(C2CCOCC2)CC1=O,C17H24ClNO4,LHTJZXMWYGUVJS,C17H24ClNO4|CCC(NOCCCCl)C1C(O)CC(C2CCOCC2)CC1O,True,True,False,False,False,False,False,False,3,0.5424,CC/C(=N/OC/C=C/Cl)C1=C(O)CC(C2CCOCC2)CC1=O,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",342.14666239487997,2024.11,3178
QAPVYZRWKDXNDK,,CCCCCCCCC1=CC=C(C=C1)NC2=CC=C(C=C2)CCCCCCCC,c1ccc(Nc2ccccc2)cc1,C28H43N,QAPVYZRWKDXNDK,C28H43N|CCCCCCCCC1CCC(NC2CCC(CCCCCCCC)CC2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",394.34682684288,2025.10,11953
QBONJEHEDCBRMZ,,CC1=C(C=CC=C1NC2=CC=CC=C2C(=O)O)CO,c1ccc(Nc2ccccc2)cc1,C15H15NO3,QBONJEHEDCBRMZ,C15H15NO3|CC1C(CO)CCCC1NC1CCCCC1C(O)O,False,False,False,False,False,False,False,False,3,0.2182,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)O,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",258.11246980688003,2024.06,11537
QNGVNLMMEQUVQK,"4-N,4-N-diethylbenzene-1,4-diamine",CCN(CC)C1=CC=C(C=C1)N,c1ccccc1,C10H16N2,QNGVNLMMEQUVQK,C10H16N2|CCN(CC)C1CCC(N)CC1,False,False,False,False,False,False,False,False,1,0.3043,CN(C)c1ccc(N(C)C)cc1,False,True,False,False,True,8,"15,30,45,60,75,90,120,150",165.13862497888,2024.11,3980
QRVYABWJVXXOTN,4-(Methylthio)benzaldehyde,CSC1=CC=C(C=O)C=C1,c1ccccc1,C8H8OS,QRVYABWJVXXOTN,C8H8OS|CSC1CCC(CO)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",153.03686234288,2024.11,11103
QSRJVOOOWGXUDY,,CC1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(=C(C(=C2)C)O)C(C)(C)C,O=C(CCc1ccccc1)OCCOCCOCCOC(=O)CCc1ccccc1,C34H50O8,QSRJVOOOWGXUDY,C34H50O8|CC1CC(CCC(O)OCCOCCOCCOC(O)CCC2CC(C)C(O)C(C(C)(C)C)C2)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",587.3578450268799,2025.10,10904
RCOBUBSULFIXAR,,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C=C(C=C2C)C6=NC7=CC=CC=C7N6C,O=C(OC1CCCCO1)c1ccccc1-c1ccc(Cn2cnc3ccc(-c4nc5ccccc5[nH]4)cc32)cc1,C39H38N4O8,RCOBUBSULFIXAR,C39H38N4O8|CCCC1NC2C(C)CC(C3NC4CCCCC4N3C)CC2N1CC1CCC(C2CCCCC2C(O)OC2OC(C(O)O)C(O)C(O)C2O)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,7,"15,30,45,60,75,90,120",691.2762406428797,2024.06,11554
RNPCQQLCTVIPNU,,CNCC(C1=CC(=CC=C1)OS(=O)(=O)O)O,c1ccccc1,C9H13NO5S,RNPCQQLCTVIPNU,C9H13NO5S|CNCC(O)C1CCCC(OS(O)(O)O)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,7,"15,30,45,60,75,90,120",248.05871998288,2024.06,11553
RUKISNQKOIKZGT,2-nitro-N-phenylaniline,O=N(=O)C=1C=CC=CC1NC=2C=CC=CC2,c1ccc(Nc2ccccc2)cc1,C12H10N2O2,RUKISNQKOIKZGT,C12H10N2O2|ON(O)C1CCCCC1NC1CCCCC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",215.08150402688,dev,11849
SEBABOMFNCVZGF,,C1CC1N2C3=C(C=CC=N3)C(=O)NC4=C(C=CN=C42)CO,O=C1Nc2cccnc2N(C2CC2)c2ncccc21,C15H14N4O2,SEBABOMFNCVZGF,C15H14N4O2|OCC1CCNC2C1NC(O)C1CCCNC1N2C1CC1,False,False,False,False,False,False,False,False,1,0.16,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1ccc[nH]1,False,True,False,False,True,6,"15,30,45,60,75,90",283.11895215488,2024.06,11538
SOZOATLLFFVAPM,,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)O,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,C33H35FN2O6,SOZOATLLFFVAPM,C33H35FN2O6|CC(C)C1C(C(O)NC2CCC(O)CC2)C(C2CCCCC2)C(C2CCC(F)CC2)N1CCC(O)CC(O)CC(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,7,"15,30,45,60,75,90,120",575.2551915268799,2024.06,11562
SPOWAUDUGZVURQ,"2,6-diamino-4-nitrotoluene",O=N(=O)C1=CC(N)=C(C(N)=C1)C,c1ccccc1,C7H9N3O2,SPOWAUDUGZVURQ,C7H9N3O2|CC1C(N)CC(N(O)O)CC1N,False,False,False,False,False,False,False,False,1,0.0625,O=C(O)[C@@H]1Cc2nc[nH]c2CN1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",168.07675299488,dev,11850
SUSRORUBZHMPCO,Bifenox,COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],c1ccc(Oc2ccccc2)cc1,C14H9Cl2NO5,SUSRORUBZHMPCO,C14H9Cl2NO5|COC(O)C1CC(OC2CCC(Cl)CC2Cl)CCC1N(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",341.99305421488,2024.11,108
SWZDQOUHBYYPJD,"N,N-Didodecyl-1-dodecanamine",CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,__ACYCLIC__SWZDQOUHBYYPJD,C36H75N,SWZDQOUHBYYPJD,C36H75N|CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,8,"15,30,45,60,75,90,120,150",522.59722786688,2024.11,3433
TYCUSKFOGZNIBO,,CCCCCCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,c1ccccc1,C23H38O5,TYCUSKFOGZNIBO,C23H38O5|CCCCCCCCCCCCCCCCOC(O)C1CC(O)C(O)C(O)C1,False,False,False,False,False,False,False,False,1,0.0685,C[C@H](CC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,False,True,False,False,True,8,"15,30,45,60,75,90,120,150",395.2792007828799,2025.10,11936
TZIPMEZQXPAKPK,6:2 Fluorotelomer sulfonamide alkylamine (6:2 FTAA),CN(C)CCCNS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__TZIPMEZQXPAKPK,C13H17F13N2O2S,TZIPMEZQXPAKPK,C13H17F13N2O2S|CN(C)CCCNS(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",513.08759211088,dev,12008
UHCSCHGCOSOIRD,"2-[3,4,4,5,5,6,6,7,7,8,8,8-dodecafluorooctyl(dimethyl)azaniumyl]acetate",C[N+](C)(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)CC(=O)[O-],__ACYCLIC__UHCSCHGCOSOIRD,C12H13F12NO2,UHCSCHGCOSOIRD,C12H13F12NO2|CN(C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",432.08274376288,dev,11827
UJAWGGOCYUPCPS,,CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)NC3=CC=C(C=C3)C(C)(C)C4=CC=CC=C4,c1ccc(Cc2ccc(Nc3ccc(Cc4ccccc4)cc3)cc2)cc1,C30H31N,UJAWGGOCYUPCPS,C30H31N|CC(C)(C1CCCCC1)C1CCC(NC2CCC(C(C)(C)C3CCCCC3)CC2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",406.25292645888,2025.10,10914
UOMXLEWVJZEVGP,,CC(C)(C)C1=CC=C(C=C1)NC2=CC=CC=C2,c1ccc(Nc2ccccc2)cc1,C16H19N,UOMXLEWVJZEVGP,C16H19N|CC(C)(C)C1CCC(NC2CCCCC2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",226.15902607488,2025.10,10899
UWSMKYBKUPAEJQ,,CC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC(=CC3=N2)Cl)O)C(C)(C)C,c1ccc(-n2nc3ccccc3n2)cc1,C20H24ClN3O,UWSMKYBKUPAEJQ,C20H24ClN3O|CC(C)(C)C1CC(N2NC3CCC(Cl)CC3N2)C(O)C(C(C)(C)C)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,6,"15,30,45,60,75,90",358.1680665348799,2025.10,3001
VCYCUECVHJJFIQ,,CC(=C)C(=O)OCCC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,c1ccc(-n2nc3ccccc3n2)cc1,C18H17N3O3,VCYCUECVHJJFIQ,C18H17N3O3|CC(C)C(O)OCCC1CCC(O)C(N2NC3CCCCC3N2)C1,False,False,False,False,False,False,False,False,4,0.1646,CCOc1ccc2[nH]cc(C(=O)NCc3ccccc3)c(=O)c2n1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",324.1342678708801,2025.10,11941
VDVUCLWJZJHFAV,"2,2,6,6-Tetramethyl-4-Piperidinol",CC1(CC(CC(N1)(C)C)O)C,C1CCNCC1,C9H19NO,VDVUCLWJZJHFAV,C9H19NO|CC1(C)CC(O)CC(C)(C)N1,False,False,False,False,False,False,False,False,1,0.1923,CC1(C)CCCC(C)(C)N1O,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",158.15394069488,dev,11833
VFBJXXJYHWLXRM,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCSCCOC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,O=C(CCc1ccccc1)OCCSCCOC(=O)CCc1ccccc1,C38H58O6S,VFBJXXJYHWLXRM,C38H58O6S|CC(C)(C)C1CC(CCC(O)OCCSCCOC(O)CCC2CC(C(C)(C)C)C(O)C(C(C)(C)C)C2)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",643.40268704288,2025.10,10900
VIUDTWATMPPKEL,3-(Trifluoromethyl)aniline,C1=CC(=CC(=C1)N)C(F)(F)F,c1ccccc1,C7H6F3N,VIUDTWATMPPKEL,C7H6F3N|NC1CCCC(C(F)(F)F)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,6,"15,30,45,60,75,90",162.05251031888,2024.11,4145
VMZVBRIIHDRYGK,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CN(C)C,c1ccccc1,C17H29NO,VMZVBRIIHDRYGK,C17H29NO|CN(C)CC1CC(C(C)(C)C)C(O)C(C(C)(C)C)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",264.23219101488,2025.10,11937
VNQNXQYZMPJLQX,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CN2C(=O)N(C(=O)N(C2=O)CC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)CC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,O=c1n(Cc2ccccc2)c(=O)n(Cc2ccccc2)c(=O)n1Cc1ccccc1,C48H69N3O6,VNQNXQYZMPJLQX,C48H69N3O6|CC(C)(C)C1CC(CN2C(O)N(CC3CC(C(C)(C)C)C(O)C(C(C)(C)C)C3)C(O)N(CC3CC(C(C)(C)C)C(O)C(C(C)(C)C)C3)C2O)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",784.5259133948799,2025.10,10860
VUQUOGPMUUJORT,Methyl p-toluenesulfonate,COS(=O)(=O)C1=CC=C(C)C=C1,c1ccccc1,C8H10O3S,VUQUOGPMUUJORT,C8H10O3S|COS(O)(O)C1CCC(C)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",187.04234164688,2024.11,11100
WARCRYXKINZHGQ,Benzoyl hydrazine,C1=CC=C(C=C1)C(=O)NN,c1ccccc1,C7H8N2O,WARCRYXKINZHGQ,C7H8N2O|NNC(O)C1CCCCC1,False,False,False,False,False,False,False,False,5,0.4074,NC(=O)Nc1ccccc1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",137.07093934288,2024.11,3563
WQNQTJSLPDZSDK,"3-(dimethylamino)-N-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctylsulfonyl)propan-1-amine oxide",CN(C)CCC[NH+]([O-])S(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__WQNQTJSLPDZSDK,C13H17F13N2O3S,WQNQTJSLPDZSDK,C13H17F13N2O3S|CN(C)CCCN(O)S(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",529.0825067308799,dev,11828
WXHVQMGINBSVAY,,CC(C)(C)C1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,c1ccc(-n2nc3ccccc3n2)cc1,C16H17N3O,WXHVQMGINBSVAY,C16H17N3O|CC(C)(C)C1CCC(O)C(N2NC3CCCCC3N2)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",268.14443863088,2025.10,11934
XEFZMEARAKSJMJ,2-Anilino-6-cyclopropyl-4-methylpyrimidine-5-ol,CC1=NC(=NC(=C1O)C2CC2)NC3=CC=CC=C3,c1ccc(Nc2nccc(C3CC3)n2)cc1,C14H15N3O,XEFZMEARAKSJMJ,C14H15N3O|CC1NC(NC2CCCCC2)NC(C2CC2)C1O,False,False,False,False,False,False,False,False,2,0.1429,O=C(/C=C/c1ccccc1)NCCc1cnc[nH]1,False,True,False,False,True,4,"15,20,25,30",242.12878856688,2024.11,10755
XFHJDMUEHUHAJW,N-Tert-butylacrylamide,CC(C)(C)NC(=O)C=C,__ACYCLIC__XFHJDMUEHUHAJW,C7H13NO,XFHJDMUEHUHAJW,C7H13NO|CCC(O)NC(C)(C)C,False,False,False,False,False,False,False,False,2,0.0938,O=CNC1CCCCC1,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",128.10699050288,2024.11,11071
XMCHHHBDBWYWSU,,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=C(C=C2)O,O=S(=O)(Nc1ccccn1)c1ccccc1,C11H11N3O3S,XMCHHHBDBWYWSU,C11H11N3O3S|NC1CCC(S(O)(O)NC2CCC(O)CN2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",266.05938867888,2024.06,11532
XMRMVBVJGSKMEN,"N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonamide",CN(C)CCCNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__XMRMVBVJGSKMEN,C9H13F9N2O2S,XMRMVBVJGSKMEN,C9H13F9N2O2S|CN(C)CCCNS(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",385.06267910288005,dev,12007
XOPFESVZMSQIKC,"1-[2-(2-chloroethoxy)phenyl]sulfonyl-3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)urea",CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,C14H16ClN5O5S,XOPFESVZMSQIKC,C14H16ClN5O5S|COC1NC(C)NC(NC(O)NS(O)(O)C2CCCCC2OCCCl)N1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,8,"15,30,45,60,75,90,120,150",402.06334375888,2024.11,3554
YEXOWHQZWLCHHD,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,c1ccccc1,C15H22O3,YEXOWHQZWLCHHD,C15H22O3|CC(C)(C)C1CC(C(O)O)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,8,0.2444,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,False,True,False,False,True,8,"15,30,45,60,75,90,120,150",251.16417103088,2025.10,11916
YKONWVIRECCMQE,,CC1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)CC=C,c1ccc(-n2nc3ccccc3n2)cc1,C16H15N3O,YKONWVIRECCMQE,C16H15N3O|CCCC1CC(C)CC(N2NC3CCCCC3N2)C1O,False,False,False,False,False,False,False,False,2,0.1452,COc1ccc(Nc2ccn(-c3ccccc3)n2)cc1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",266.12878856688,2025.10,11933
YOYAIZYFCNQIRF,"2,6-dichlorobenzonitrile",ClC1=CC=CC(Cl)=C1C#N,c1ccccc1,C7H3Cl2N,YOYAIZYFCNQIRF,C7H3Cl2N|NCC1C(Cl)CCCC1Cl,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,5,"15,30,45,60,75",171.97153092288,2024.11,84
