key,scaffold_group_census,in_design12b,reasons
KQSFNXMDCOFFGW,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CCC(OC6CCCO6)CO5)CC4CCC3C1CC2,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQSUUFTUYHIQBR,O=C(CSc1n[nH]c(=O)[nH]c1=O)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQSVEWNCWPLKQV,O=C(COc1ccccc1)N1CCCCC1,True,SCAFFOLD_GROUP_EXCLUDED
KQTCGRICYMNKIZ,C(=NN1CCN(Cc2cccc3ccccc23)CC1)c1ccco1,False,HEADER_READ_WELL_STUDY1
KQTIIICEAUMSDG,__ACYCLIC__KQTIIICEAUMSDG,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KQTYDMMVMJEHAN,C1CCOC1,False,HEADER_READ_WELL_STUDY1
KQUKHINHCUELQL,O=C(NCc1ccc(-n2cccn2)cc1)Nc1ccccc1,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQVJCZOHSTZSAW,O=C(CC1CCC1)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQWAZLUOYYQTIE,c1coc(-c2ccno2)c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQWMBSZCXFDGIL,O=C(COc1ccc2c(-c3ccccc3)cc(=O)oc2c1)NC1CCS(=O)(=O)C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQWPYXBWZWLRMZ,c1ccc2c3c([nH]c2c1)CCCC3,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KQXDHUJYNAXLNZ,O=C(CCCC1CCCCO1)CC1CCCC2(C=CCC3(CCC(C4CCCCO4)O3)O2)O1,False,EXPOSED_POPULATION:WUR-NEG-DEV;HEADER_READ_WELL_STUDY1
