usi,filepath,dataset,collection,is_update,update_name,create_time,size,size_mb,sample_type,spectra_ms1,spectra_ms2,instrument_vendor,instrument_model,file_processed
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_503.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_503.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:08.225000,90985267,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_504.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_504.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:08.606000,90791099,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_505.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_505.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:08.971000,89507319,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_506.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_506.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:09.351000,89324547,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_507.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_507.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:09.723000,89845344,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:10.130000,88948258,84,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_499.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_499.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:10.528000,92613464,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_500.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_500.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:10.920000,92120301,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:11.256000,91369758,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:11.594000,92082314,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_503.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_503.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:11.907000,91085819,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_504.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_504.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:12.292000,89936453,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_505.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_505.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:12.658000,88501098,84,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_506.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_506.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:12.984000,88651471,84,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE90_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:13.330000,88347621,84,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_500.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_500.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:13.828000,97524473,93,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:14.173000,96856427,92,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:14.545000,96827880,92,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_503.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_503.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:15.018000,96635547,92,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_504.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_504.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:15.415000,96250253,91,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_505.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_pos_CE15_505.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:15.823000,95734094,91,GNPS,0,0,,,No
