record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-EAWAG-EC014001__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,15,ICEBERG_2_1,K3,0.8485195718894079,0.6530230011834561,
MSBNK-EAWAG-EC014001__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,15,GLACIER,K1,0.8403740816512535,0.6747132652569523,
MSBNK-EAWAG-EC014001__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,15,GLACIER,K2,0.11598327479775852,0.20936383338992381,
MSBNK-EAWAG-EC014001__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,15,GLACIER,K3,0.11131912471493192,0.20857271974740477,
MSBNK-EAWAG-EC014002__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,20,ICEBERG_2_1,K1,0.00035503636381524234,0.0014000381872678602,
MSBNK-EAWAG-EC014002__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,20,ICEBERG_2_1,K2,0.002049193806572335,0.005778794231624973,
MSBNK-EAWAG-EC014002__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,20,ICEBERG_2_1,K3,0.002816221850971142,0.006735029875710952,
MSBNK-EAWAG-EC014002__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,20,GLACIER,K1,0.00012192054930682873,0.0006437336810378724,
MSBNK-EAWAG-EC014002__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,20,GLACIER,K2,0.0032069205791361768,0.011613351348349066,
MSBNK-EAWAG-EC014002__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,20,GLACIER,K3,0.0010271793980827443,0.003692099920136971,
MSBNK-EAWAG-EC014003__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,25,ICEBERG_2_1,K1,0.0019157720097788833,0.005614904097752116,
MSBNK-EAWAG-EC014003__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,25,ICEBERG_2_1,K2,0.0,0.0,
MSBNK-EAWAG-EC014003__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,25,ICEBERG_2_1,K3,0.0,0.0,
MSBNK-EAWAG-EC014003__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,25,GLACIER,K1,0.007044689661464512,0.023615189014840055,
MSBNK-EAWAG-EC014003__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,25,GLACIER,K2,0.0,0.0,
MSBNK-EAWAG-EC014003__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,25,GLACIER,K3,0.0004278869114382721,0.0015672589644065704,
MSBNK-EAWAG-EC014004__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,30,ICEBERG_2_1,K1,0.007296851517346579,0.022049384478011302,
MSBNK-EAWAG-EC014004__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,30,ICEBERG_2_1,K2,0.06387530255425629,0.10620824658219863,
MSBNK-EAWAG-EC014004__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,30,ICEBERG_2_1,K3,0.04763602278044917,0.08559353456817631,
MSBNK-EAWAG-EC014004__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,30,GLACIER,K1,0.0007510634623388577,0.0042575876235401156,
MSBNK-EAWAG-EC014004__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,30,GLACIER,K2,0.00022545282640884257,0.001867547480807863,
MSBNK-EAWAG-EC014004__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,30,GLACIER,K3,0.00023677274284431013,0.0018408183104329234,
MSBNK-EAWAG-EC014005__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,40,ICEBERG_2_1,K1,0.4527437457053372,0.29726969680642035,
MSBNK-EAWAG-EC014005__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,40,ICEBERG_2_1,K2,0.3947845251953881,0.28151682691694835,
MSBNK-EAWAG-EC014005__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,40,ICEBERG_2_1,K3,0.38437008942917117,0.2778570684061158,
MSBNK-EAWAG-EC014005__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,40,GLACIER,K1,0.4508206956922722,0.3447842871874608,
MSBNK-EAWAG-EC014005__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,40,GLACIER,K2,0.5273470387790447,0.3872036513613444,
MSBNK-EAWAG-EC014005__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,40,GLACIER,K3,0.520920240486865,0.3842565182875659,
MSBNK-EAWAG-EC014006__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,50,ICEBERG_2_1,K1,0.5640174434345823,0.41435256058095604,
MSBNK-EAWAG-EC014006__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,50,ICEBERG_2_1,K2,0.7284497615156337,0.4872800188882338,
MSBNK-EAWAG-EC014006__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,50,ICEBERG_2_1,K3,0.7371505184864023,0.4944654495849611,
MSBNK-EAWAG-EC014006__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,50,GLACIER,K1,0.6349654464311167,0.3941054087862086,
MSBNK-EAWAG-EC014006__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,50,GLACIER,K2,0.7145049512979196,0.5436791927342699,
MSBNK-EAWAG-EC014006__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,50,GLACIER,K3,0.6528215411781897,0.5289639309135881,
MSBNK-EAWAG-EC014007__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,60,ICEBERG_2_1,K1,0.6875221322541121,0.5472955866368998,
MSBNK-EAWAG-EC014007__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,60,ICEBERG_2_1,K2,0.7535911042804012,0.5574889792673772,
MSBNK-EAWAG-EC014007__ICEBERG_2_1__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,60,ICEBERG_2_1,K3,0.8089977686518797,0.6092816536743212,
MSBNK-EAWAG-EC014007__GLACIER__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,60,GLACIER,K1,0.6238526307874179,0.514612539537148,
MSBNK-EAWAG-EC014007__GLACIER__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,60,GLACIER,K2,0.675464169568067,0.5100461970404389,
MSBNK-EAWAG-EC014007__GLACIER__K3,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,60,GLACIER,K3,0.6991554085532297,0.5166897841769144,
MSBNK-EAWAG-EC014901__ICEBERG_2_1__K1,JKBXTXMXBDJJQA,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,15,ICEBERG_2_1,K1,0.9607920413268719,0.7265629517052581,
MSBNK-EAWAG-EC014901__ICEBERG_2_1__K2,JKBXTXMXBDJJQA,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,15,ICEBERG_2_1,K2,0.1837274044784939,0.19660822190843963,
MSBNK-EAWAG-EC014901__ICEBERG_2_1__K3,JKBXTXMXBDJJQA,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,15,ICEBERG_2_1,K3,0.1298653242981344,0.15066535338611664,
MSBNK-EAWAG-EC014901__GLACIER__K1,JKBXTXMXBDJJQA,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,15,GLACIER,K1,0.9155656494097284,0.6962612045342382,
MSBNK-EAWAG-EC014901__GLACIER__K2,JKBXTXMXBDJJQA,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,15,GLACIER,K2,0.1771068065086987,0.2919540776966546,
